iter	Passed	Remaining
0	20	30702
1	37	28214
2	54	27130
3	71	26554
4	88	26385
5	104	26002
6	121	25876
7	140	26120
8	159	26407
9	176	26243
10	193	26237
11	210	26082
12	229	26256
13	247	26246
14	265	26285
15	284	26371
16	301	26330
17	322	26522
18	342	26667
19	360	26667
20	378	26673
21	395	26563
22	419	26959
23	437	26933
24	455	26853
25	472	26810
26	491	26786
27	510	26852
28	528	26803
29	547	26809
30	564	26739
31	583	26745
32	603	26830
33	623	26889
34	641	26865
35	659	26830
36	676	26768
37	695	26765
38	718	26928
39	737	26934
40	757	26970
41	775	26928
42	794	26911
43	813	26906
44	831	26874
45	848	26824
46	866	26800
47	888	26889
48	908	26894
49	925	26848
50	943	26796
51	961	26775
52	980	26781
53	998	26727
54	1015	26673
55	1033	26653
56	1053	26669
57	1073	26685
58	1090	26631
59	1108	26595
60	1125	26548
61	1144	26539
62	1164	26550
63	1180	26485
64	1199	26481
65	1216	26441
66	1235	26418
67	1255	26448
68	1275	26458
69	1293	26415
70	1310	26381
71	1327	26334
72	1348	26354
73	1366	26334
74	1384	26310
75	1402	26282
76	1421	26264
77	1441	26272
78	1446	26012
79	1464	25993
80	1481	25955
81	1498	25917
82	1518	25925
83	1539	25946
84	1556	25917
85	1573	25878
86	1592	25859
87	1610	25834
88	1629	25828
89	1649	25849
90	1668	25831
91	1686	25812
92	1704	25789
93	1725	25806
94	1745	25814
95	1763	25793
96	1782	25777
97	1798	25734
98	1818	25738
99	1838	25743
100	1856	25721
101	1874	25693
102	1891	25658
103	1909	25634
104	1931	25655
105	1949	25639
106	1968	25624
107	1986	25598
108	2005	25590
109	2024	25586
110	2043	25572
111	2060	25534
112	2078	25506
113	2098	25509
114	2117	25505
115	2136	25491
116	2154	25464
117	2172	25447
118	2192	25440
119	2211	25431
120	2230	25419
121	2248	25401
122	2267	25383
123	2287	25380
124	2306	25374
125	2324	25351
126	2341	25319
127	2360	25296
128	2379	25286
129	2399	25291
130	2418	25278
131	2437	25265
132	2456	25244
133	2474	25220
134	2494	25223
135	2513	25206
136	2530	25180
137	2548	25152
138	2566	25133
139	2587	25134
140	2606	25123
141	2624	25098
142	2641	25071
143	2660	25048
144	2680	25046
145	2698	25024
146	2715	24997
147	2734	24975
148	2753	24962
149	2772	24956
150	2791	24935
151	2809	24916
152	2827	24896
153	2847	24883
154	2866	24875
155	2885	24862
156	2903	24839
157	2922	24821
158	2940	24801
159	2961	24806
160	2981	24795
161	2998	24769
162	3016	24746
163	3035	24731
164	3055	24724
165	3073	24699
166	3091	24678
167	3110	24659
168	3130	24652
169	3149	24643
170	3168	24626
171	3186	24604
172	3205	24591
173	3224	24575
174	3244	24568
175	3262	24544
176	3280	24520
177	3298	24497
178	3319	24495
179	3340	24496
180	3357	24468
181	3375	24446
182	3392	24417
183	3412	24408
184	3430	24387
185	3448	24363
186	3466	24340
187	3485	24323
188	3504	24308
189	3524	24302
190	3544	24289
191	3562	24270
192	3580	24249
193	3599	24233
194	3620	24231
195	3640	24219
196	3659	24205
197	3678	24186
198	3697	24170
199	3717	24163
200	3735	24143
201	3754	24125
202	3772	24104
203	3792	24092
204	3811	24078
205	3831	24068
206	3850	24052
207	3869	24033
208	3887	24014
209	3907	24005
210	3925	23983
211	3943	23960
212	3962	23940
213	3981	23927
214	4004	23931
215	4028	23944
216	4048	23934
217	4067	23919
218	4085	23900
219	4107	23897
220	4126	23879
221	4144	23856
222	4161	23832
223	4179	23810
224	4198	23793
225	4223	23806
226	4241	23787
227	4260	23770
228	4279	23749
229	4299	23738
230	4318	23722
231	4337	23705
232	4355	23681
233	4372	23654
234	4391	23640
235	4410	23624
236	4430	23608
237	4448	23590
238	4468	23575
239	4487	23560
240	4509	23560
241	4527	23536
242	4545	23511
243	4563	23489
244	4582	23474
245	4603	23467
246	4622	23449
247	4642	23436
248	4660	23416
249	4680	23402
250	4700	23392
251	4719	23372
252	4737	23351
253	4755	23328
254	4775	23314
255	4795	23302
256	4814	23286
257	4834	23273
258	4852	23250
259	4871	23233
260	4895	23240
261	4916	23230
262	4934	23210
263	4953	23189
264	4971	23167
265	4993	23167
