Year,Month,Day,Hour,NO2 ,SO2,CO,PM10,AQI,PM25
2018,1,1,1,19.041667,3,1.145833,87,168,89.1
2018,1,1,2,19.041667,3,0.878947,122,177,105.5
2018,1,1,3,19.041667,2.975,1.145833,95,174,100.2
2018,1,1,4,19.041667,2.975,0.878947,79,169,89.6
2018,1,1,5,22.958333,1.958333,0.85,63,162,76.3
2018,1,1,6,22.958333,1.958333,1.066667,41,153,58.6
2018,1,1,7,22.958333,1.9375,0.85,52,150,55.3
2018,1,1,8,22.958333,1.9375,1.066667,73,155,64.1
2018,1,1,9,38.125,5.25,1.929167,84,161,74
2018,1,1,10,38.125,5.25,1.7625,39,152,56.5
2018,1,1,11,38.125,5.2,1.929167,31,121,43.7
2018,1,1,12,38.125,5.2,1.7625,30,104,36.8
2018,1,1,13,40.26087,7.083333,1.991667,34,100,35.4
2018,1,1,14,40.26087,7.083333,1.829167,28,92,31.7
2018,1,1,15,40.26087,7.05,1.991667,45,108,38.3
2018,1,1,16,40.26087,7.05,1.829167,53,126,45.6
2018,1,1,17,48.45,8.708333,2.620833,65,150,55.3
2018,1,1,18,48.45,8.708333,2.7,70,155,62.6
2018,1,1,19,48.45,8.7,2.620833,62,155,62.3
2018,1,1,20,48.45,8.7,2.7,82,160,72.1
2018,1,1,21,39.95,6.761905,1.973913,89,164,80.5
2018,1,1,22,39.95,6.761905,2.308333,82,164,81.2
2018,1,1,23,39.95,7.066667,1.973913,74,162,77.6
2018,1,2,0,39.95,7.066667,2.308333,51,156,64.3
2018,1,2,1,29.625,8.666667,2.3625,45,148,54.6
2018,1,2,2,29.625,8.666667,1.829167,27,114,40.8
2018,1,2,3,29.625,8.6375,2.3625,52,128,46.4
2018,1,2,4,29.625,8.6375,1.829167,48,130,47.2
2018,1,2,5,29.666667,8.25,2.541667,83,156,65.1
2018,1,2,6,29.666667,8.25,2.7875,102,165,83.5
2018,1,2,7,29.666667,8.2125,2.541667,96,169,89.7
2018,1,2,8,29.666667,8.2125,2.7875,103,172,96.3
2018,1,2,9,25.083333,6.5,1.729167,101,173,98.6
2018,1,2,10,25.083333,6.5,1.675,83,169,90.8
2018,1,2,11,25.083333,6.475,1.729167,68,163,79.4
2018,1,2,12,25.083333,6.475,1.675,67,160,73.2
2018,1,2,13,37.666667,9.958333,2.341667,72,160,72.6
2018,1,2,14,37.666667,9.958333,2.179167,67,158,69.8
2018,1,2,15,37.666667,9.925,2.341667,37,145,53.4
2018,1,2,16,37.666667,9.925,2.179167,30,116,41.6
2018,1,2,17,50.5,11.625,2.604167,28,99,34.8
2018,1,2,18,50.5,11.625,2.533333,34,98,34.4
2018,1,2,19,50.5,11.6,2.604167,28,91,31.1
2018,1,2,20,50.5,11.6,2.533333,26,85,28.5
2018,1,2,21,49.125,10.916667,2.295833,26,83,27.2
2018,1,2,22,49.125,10.916667,2.316667,21,76,24.1
2018,1,2,23,49.125,10.875,2.295833,21,73,22.5
2018,1,3,0,49.125,10.875,2.316667,23,73,22.7
2018,1,3,1,73.285714,10.952381,3.136364,28,79,25.3
2018,1,3,2,73.285714,10.952381,2.958333,17,70,21.1
2018,1,3,3,73.285714,11.766667,3.136364,28,77,24.5
2018,1,3,4,73.285714,11.766667,2.958333,42,95,33.2
2018,1,3,5,66.541667,11.625,3.0125,33,95,33.1
2018,1,3,6,66.541667,11.625,3.575,42,106,37.5
2018,1,3,7,66.541667,11.5875,3.0125,57,130,47.2
2018,1,3,8,66.541667,11.5875,3.575,82,156,64.6
2018,1,3,9,53.166667,9.583333,2.754167,95,164,79.8
2018,1,3,10,53.166667,9.583333,2.175,61,159,70.4
2018,1,3,11,53.166667,9.55,2.754167,57,155,63.7
2018,1,3,12,53.166667,9.55,2.175,40,141,51.8
2018,1,3,13,45.75,6.458333,1.5625,29,113,40.4
2018,1,3,14,45.75,6.458333,1.9625,40,113,40.2
2018,1,3,15,45.75,6.4375,1.5625,46,120,43.1
2018,1,3,16,45.75,6.4375,1.9625,42,118,42.5
2018,1,3,17,59.25,8.5,2.233333,54,132,48.2
2018,1,3,18,59.25,8.5,1.9875,65,152,56.6
2018,1,3,19,59.25,8.45,2.233333,69,155,62.8
2018,1,3,20,59.25,8.45,1.9875,65,155,63.9
2018,1,3,21,66.791667,12.166667,2.991667,74,158,68.9
2018,1,3,22,66.791667,12.166667,2.891667,74,159,71.4
2018,1,3,23,66.791667,12.125,2.991667,69,159,70.2
2018,1,4,0,66.791667,12.125,2.891667,69,158,69.6
2018,1,4,1,59.041667,10.166667,2.533333,73,159,71.1
2018,1,4,2,59.041667,10.166667,2.65,70,159,70.5
2018,1,4,3,59.041667,10.1375,2.533333,63,157,67.3
2018,1,4,4,59.041667,10.1375,2.65,57,156,65.1
2018,1,4,5,48.357143,9.391304,2.231818,60,156,64.4
2018,1,4,6,48.357143,9.391304,2.366667,58,155,62.8
2018,1,4,7,48.357143,9.5,2.231818,54,153,59.8
2018,1,4,8,48.357143,9.5,2.366667,76,156,64.3
2018,1,4,9,54.5,7.958333,2.020833,131,173,98.6
2018,1,4,10,54.5,7.958333,1.9125,124,180,111.3
2018,1,4,11,54.5,7.9,2.020833,72,170,91.6
2018,1,4,12,54.5,7.9,1.9125,58,161,74.8
