Temperature,Humidity,Wind.Speed..km.h.,Visibility,Pressure,so2,no2,Rainfall,PM10,PM25,AQI
14.03333333,0.93,14.1197,15.8263,1015.13,4.8,17.4,50.7,87,89.1,168
15.05555556,0.93,14.2646,15.8263,1015.63,3.1,7,52.1,122,105.5,177
15.91666162,0.89,3.9284,14.9569,1015.94,6.2,28.5,53.8,95,100.2,174
16.09444444,0.93,14.1036,15.8263,1016.41,6.3,14.7,53.7,79,89.6,169
16.10555556,0.93,13.9168,14.9569,1016.66,6.4,25.7,54.3,41,58.6,153
17.2,0.88,12.3648,9.982,1016.72,5.4,17.1,57.1,52,55.3,150
17.2,0.82,14.1519,9.982,1016.84,4.7,8.7,55.6,73,64.1,155
17.29444444,0.82,11.3183,9.982,1017.37,4.2,23,54,84,74,161
17.76111111,0.84,12.5258,9.982,1017.22,4,8.9,52.4,39,56.5,152
17.66666162,0.79,17.5651,11.2056,1017.42,3.6,18.6,54.8,31,43.7,121
17.14444444,0.82,19.7869,11.4471,1017.74,3.9,14.1,54.5,30,36.8,104
17.06666162,0.82,21.9443,11.27,1017.59,5.6,11.8,55.5,34,35.4,100
15.91666162,0.89,15.3755,11.4471,1017.17,3.9,8.2,55.8,45,38.3,108
15.46666162,0.9,14.4095,11.27,1016.15,7.9,10.2,53.7,65,55.3,150
14.92777778,0.93,11.1573,11.4471,1016.17,4,9.9,53.7,70,62.6,155
14.42222222,0.93,8.5169,11.2056,1015.82,12.4,11.5,54.5,62,62.3,155
14.42222222,0.93,7.6314,11.2056,1015.83,4,12.3,56,82,72.1,160
14.42777778,0.96,7.3899,11.0285,1015.85,6.3,11.5,56.3,89,80.5,164
14.42222222,0.94,4.9266,9.982,1015.77,44.8,13.7,53.7,82,81.2,164
14.42222222,0.96,6.6493,15.8263,1015.4,8.1,17.8,53.6,74,77.6,162
13.94444444,0.96,3.9284,14.9569,1015.51,7.7,11.3,55.5,51,64.3,156
13.91666162,1,16.1055,15.8263,1014.4,20.6,13.6,58,45,54.6,148
13.99444444,0.94,10.8192,14.9569,1008.71,13.9,7.2,59.8,52,46.4,128
15.96111111,0.88,13.0088,14.9569,1014.49,24.5,28,56.8,102,83.5,165
15.97222222,0.87,11.1734,6.1105,1014.52,7.2,10.4,58.8,96,89.7,169
15.99444444,0.88,12.8156,8.05,1014.16,28.7,16.2,58,103,96.3,172
17.33888889,0.81,13.7494,9.982,1014.24,18.7,42.2,57,101,98.6,173
17.01666162,0.82,15.6331,9.982,1014.25,24.5,18,58.3,83,90.8,169
15.99444444,0.87,17.549,9.982,1013.96,20.4,12.6,58.5,68,79.4,163
15.95,0.87,23.8924,9.982,1013.04,7.5,12.2,58.5,72,72.6,160
14.86111111,0.93,28.3682,9.982,1012.22,4.8,8.4,62.7,67,69.8,158
14.88333333,0.91,25.3092,9.982,1009.83,21.2,11.5,67.6,28,34.8,99
14.35555556,0.89,18.1125,10.3523,1009.26,4.9,15.3,66.5,34,34.4,98
14.32777778,0.88,23.4255,9.982,1008.76,17.7,14,68.4,28,31.1,91
14.32777778,0.88,20.0445,11.2056,1008.36,12.3,38.6,69.1,26,28.5,85
14.26666162,0.89,21.3969,9.982,1008.11,3.5,11.9,66.8,26,27.2,83
13.81666162,0.91,21.3808,9.982,1008.15,3.1,7.5,62.4,21,24.1,76
13.81666162,0.93,20.0123,15.8263,1007.85,3,19,62.5,21,22.5,73
13.82777778,0.94,16.5025,14.9569,1007.89,6.2,10,63.5,23,22.7,73
13.81666162,0.9,17.0982,15.8263,1007.36,7.9,9.2,66.6,28,25.3,79
13.76111111,0.8,22.0409,6.6976,1005.1,8.5,12.5,64.9,28,24.5,77
14.86111111,0.73,11.3344,15.8263,1007.01,7.8,9.8,62.1,42,33.2,95
16.06666162,0.72,10.4006,6.6976,1006.59,6.6,12.7,54.2,42,37.5,106
17.17777778,0.64,12.0106,5.9731,1006.34,13.3,11.9,58.3,57,47.2,130
17.71111111,0.61,9.2092,10.8031,1006.09,6,23.4,59.7,82,64.6,156
17.65555556,0.6,9.9015,10.6743,1005.97,8.5,15.5,65.8,95,79.8,164
17.17777778,0.63,9.0965,10.8192,1005.83,6.2,25.7,62.9,57,63.7,155
14.97777778,0.63,3.864,10.8514,1005.2,18.8,39,61.5,40,40.2,113
14.95,0.61,7.8246,11.0768,1005.1,8.9,11.4,60.9,46,43.1,120
13.88888889,0.65,15.5848,10.8514,1004.65,11.2,18.4,63.7,42,42.5,118
14.35,0.61,23.6992,10.8836,1004.04,6,47,63.3,54,48.2,132
13.81666162,0.62,22.3951,2.6565,1004.61,14.6,4.4,65.9,69,62.8,155
13.31111111,0.66,26.5006,2.6565,1004.99,35.8,12.5,68.1,65,63.9,155
13.29444444,0.68,23.2162,3.8157,1004.85,52.6,89.6,64.3,74,68.9,158
13.28888889,0.69,25.4219,4.4919,1004.96,55.8,33.8,63.1,74,71.4,159
13.26666162,0.67,28.1267,4.4436,1005.14,33.4,31.7,67.1,69,70.2,159
12.73333333,0.69,20.447,3.1073,1004.8,6,34.1,69.1,73,71.1,159
12.17777778,0.74,6.7459,14.0553,1007,24.5,11.5,74.5,63,67.3,157
12.26666162,0.73,14.9086,6.118,1004.3,13,66.5,74.5,57,65.1,156
12.33888889,0.79,25.0355,6.118,1003.68,8.4,21.4,76.3,60,64.4,156
12.76111111,0.72,19.8352,6.1156,1003.86,12.8,30.9,76.1,58,62.8,155
12.89444444,0.76,28.0945,7.9695,1003.57,32.9,144.8,76.5,54,59.8,153
12.40555556,0.79,27.9818,6.3434,1003.96,24.3,18.7,74.8,76,64.3,156
12.33333333,0.85,32.1678,11.2056,1004.26,34.5,21,81.8,124,111.3,180
12.31666162,0.85,26.5328,11.27,1004.18,8.8,9.7,82.3,72,91.6,170
11.4,0.92,28.336,10.1465,1004.23,14.4,10.4,75.4,58,74.8,161
11.25,0.91,29.8333,11.27,1004.47,14.1,37.8,71.9,51,62.9,155
12.55,0.75,28.5131,11.0768,1004.29,12,23,78.1,65,67.2,157
12.73333333,0.72,25.6956,11.27,1003.93,12.6,29.2,-99,57,62.1,154
12.22222222,0.76,25.3414,11.27,1004,136.1,162.2,73.9,51,56.5,152
11.20555556,0.82,17.8549,14.9086,1004,32.7,28,74.9,68,64.8,156
10.72222222,0.86,15.7297,11.0285,1005.48,22.4,10.2,74.3,88,81.2,164
10.65,0.88,12.3648,9.982,1005.89,14.1,20.8,75.5,90,84,166
10.11666162,0.92,13.8943,15.8263,1006.37,12.4,38,78.1,75,80.1,164
10.2,0.92,9.8049,15.0052,1006.56,7.8,32.3,78.3,78,79.2,163
10.13888889,0.92,6.6654,15.8746,1007.07,11.6,39.6,80.6,72,76,162
10.11666162,0.92,7.1162,15.8746,1007.37,44.6,122.4,82,65,71.2,159
10.14444444,0.93,3.7191,9.982,1012.23,94.3,47.3,84.1,66,68.9,158
11.16111111,0.92,20.5275,15.8263,1007.18,8.3,14.2,80.9,67,68.1,158
12.1,0.87,19.3039,14.9569,1007.39,6.3,33.2,79.6,65,67.2,157
12.85,0.82,17.4363,9.982,1007.67,9.1,8.2,78.7,76,69.8,158
13.93888889,0.82,20.4148,9.982,1007.98,11.3,53.1,82.9,112,88.5,168
13.86111111,0.78,17.0499,9.982,1008.57,7.3,12,84.9,163,127.2,188
12.96666162,0.81,20.5114,9.982,1008.87,4.9,21.7,86.4,166,146.6,198
12.94444444,0.82,17.6456,9.982,1009.44,5.2,20.2,86.2,106,126.3,188
12.87777778,0.83,14.4095,9.982,1010.03,29.1,28,82.9,56,91.1,169
12.87222222,0.82,10.7548,10.0464,1010.22,18.4,25.9,84.3,48,69.5,158
12.29444444,0.85,4.8622,10.0464,1010.39,8.6,61.7,79.7,58,63.7,155
12.75555556,0.77,0.322,9.982,1010,4.9,20.8,85.8,53,56.1,151
12.12222222,0.76,3.0107,11.0285,1010.05,11.2,22.4,87.9,59,58.7,153
20.48888889,0.73,10.465,9.982,1010.1,4.5,33.9,90.4,63,60.8,154
18.74444444,0.76,9.9981,9.982,1011.32,7.3,13,89.7,66,66,156
17.63333333,0.79,13.685,11.9784,1011.61,13,68,90,68,66.3,157
23.75,0.62,5.2003,9.982,1013.39,8.8,34.4,89,80,67.9,157
26.03333333,0.53,5.6189,5.9248,1013.45,5.9,32.6,87.5,97,81.7,165
27.71111111,0.49,4.7656,1.2236,1013.4,3.3,10.4,92.3,109,96.3,172
28.81666162,0.43,7.9212,7.2128,1013.81,14.9,16.5,89.6,126,111.1,180
29.92777778,0.42,9.7185,10.6743,1014.7,4.3,8.9,92.4,168,139.6,194
29.92777778,0.43,9.6922,11.2056,1014.67,18.7,31.2,90.3,183,161.3,212
30.03888889,0.42,20.3343,11.0285,1014.8,17.7,29.5,94.5,96,125.8,187
28.83888889,0.46,23.5865,11.27,1014.47,9.9,172.4,96.1,69,97.4,173
27.6,0.5,22.2105,11.27,1014.16,8.8,19.4,95.5,56,76.7,162
23.75,0.67,14.49,11.27,1013.34,17.4,31.7,98.7,57,62.4,155
22.20555556,0.84,19.5937,11.4471,1012.38,19.5,28.4,95.2,56,55.5,151
11.64444444,0.74,14.8281,11.1251,1012.38,10.7,101.6,96.2,64,59.7,153
10.63333333,0.78,11.5598,11.4471,1013.42,12,17,95,66,63.1,155
10.6,0.77,11.2539,15.8746,1014.89,18.3,23.5,91,45,52.7,143
10.59444444,0.74,5.7799,15.0052,1014.91,21.8,22.3,91.6,56,55.3,150
10.05,0.77,2.6404,15.8746,1014.75,1.2,16.5,91.2,53,54.6,148
10.02777778,0.77,5.313,15.8746,1015.55,9.7,21.3,93.1,53,54.1,147
12.68888889,0.69,3.6547,14.9086,1016.43,8.7,22.9,94.7,54,55.8,151
12.95,0.63,6.5205,13.3791,1017.15,7.9,41.3,96.4,86,77.2,162
13.93888889,0.63,11.3988,9.982,1017.37,7.3,26.4,97.5,113,95.4,172
15.05,0.59,9.66,9.982,1018.25,15.2,45.4,98.2,118,106.7,177
16.88333333,0.45,15.9551,9.982,1019.24,6.5,10.2,101.7,128,117.3,183
17.08333333,0.44,13.1698,11.2056,1020.51,8,44.8,101.1,86,102.8,175
14.85555556,0.55,11.2378,11.27,1020.6,7.7,7.9,98.5,50,59.7,153
13.53888889,0.57,10.6099,11.4471,1020.34,6.4,11.8,99.9,54,53.6,146
12.06111111,0.61,7.9534,11.2056,1019.7,7.4,7.5,101.9,46,49.8,136
11.01666162,0.63,2.5921,11.2056,1018.89,6.9,32.6,100.7,62,55.9,151
9.672222222,0.7,11.0124,10.3523,1018.48,6.1,13.4,100.3,54,54.9,149
21.50555556,0.9,9.1931,9.982,1017.87,6,6.8,100.9,60,57.4,152
21.41666162,0.85,9.1609,9.982,1017.56,6,31.6,100.7,60,58.7,153
21.46666162,0.84,9.2736,9.982,1017.38,6,7.9,102.8,62,60.3,153
19.93888889,0.9,9.4507,9.982,1017.58,6,8.8,102.9,59,59.6,153
20.32777778,0.87,11.0768,15.8263,1017.65,6,30.9,102.3,55,57.5,152
19.86111111,0.9,13.3791,14.9569,1017.36,6,9.6,101.9,55,56.8,152
19.88888889,0.87,11.3183,15.8263,1016.64,6,17.7,88,54,56.2,151
22.52777778,0.73,14.168,15.8263,1014.79,6,5.8,82.9,61,57.7,152
23.81666162,0.59,13.8299,14.9569,1013.95,6,13.6,86.2,84,68.4,158
23.72777778,0.59,14.007,9.982,1013.63,6,8.2,90.9,89,77.1,162
24.20555556,0.6,13.8782,10.3523,1013.56,6,9.3,94.5,127,111.9,180
26.02222222,0.54,14.4578,9.982,1012.85,6,12.8,91.7,128,119.9,184
26.06666162,0.5,25.0194,11.27,1012.15,6,11.1,89.5,141,130.4,190
26.06666162,0.49,27.37,11.4471,1011.71,6,7.8,91.7,97,113.7,181
24.95,0.54,22.218,11.27,1011.28,6,7.2,94.3,83,98.3,173
22.75555556,0.62,23.5382,11.27,1010.99,6,18.6,93.8,86,92.1,170
22.25555556,0.67,19.8996,11.3988,1010.93,6.3,8,97.2,63,77.5,162
19.95,0.86,17.5007,11.27,1010.7,11.9,10,94.1,64,70.7,159
19.61666162,0.91,19.5615,11.3988,1010.69,17.8,15.2,94.4,79,69.9,158
19.35555556,0.89,17.2753,11.2056,1011.14,34.1,48.9,96,69,67.7,157
19.36666162,0.9,11.7691,11.2861,1011.64,4.4,8.9,91.6,79,73.3,160
18.28333333,0.96,11.0607,15.6975,1012.21,4.2,14.1,88.5,64,67.4,157
17.65555556,0.97,6.923,15.8263,1012.6,51.6,63,83.4,57,60.3,153
18.79444444,0.84,7.889,9.982,1013.01,10.7,5.2,87.3,61,58,152
19.85555556,0.85,11.8657,9.982,1013.23,9.7,28.8,88.2,46,54,147
19.81666162,0.84,20.0123,11.2056,1013.31,10.9,23.7,89.9,49,52.9,144
19.81666162,0.84,17.5812,11.2056,1013.4,21.3,25.8,84.9,57,54,147
18.79444444,0.9,16.3093,11.27,1013.02,25.4,48.4,87.3,53,53.9,146
17.86666162,0.91,19.0785,15.3594,1012.55,3.7,17,82.6,57,54.3,147
17.2,0.93,17.5973,11.27,1012.03,10.5,25.4,82.6,63,56.7,152
17.2,0.97,20.3343,11.27,1011.81,3.7,8.3,83.4,63,58.4,152
16.6,0.93,14.3773,9.982,1011.2,11.9,8.3,88.4,78,67.1,157
16.6,0.93,10.8997,9.982,1011.5,8.7,8.5,88.4,77,71.2,159
16.07777778,0.93,4.7173,9.982,1011.76,6.6,16.6,85.1,51,63.1,155
14.93333333,0.87,3.5742,15.8263,1012.31,7.1,15.4,78.9,43,52.1,142
13.86666162,0.83,11.27,11.9784,1012.52,6.4,5.2,83.3,37,41.6,116
15.71111111,0.75,9.6278,14.9569,1011.27,5.1,46,81.7,34,38.7,109
17.75555556,0.65,3.3488,4.1216,1012.44,9.4,22.6,80.9,41,40.7,114
19.68888889,0.54,2.9946,4.7656,1012.62,6.3,7.6,82.5,38,39.3,110
20.95,0.5,3.3005,2.9302,1012.75,1.2,4.2,85.6,64,51.7,141
19.95555556,0.49,1.4329,5.8443,1012.96,0.9,16.2,87.2,83,67.3,157
21.80555556,0.43,2.415,9.6117,1013.38,6.3,5.2,85.4,98,82.7,165
22.06666162,0.43,4.1538,9.6761,1013.14,11,17.9,85.3,105,93.8,171
19.83333333,0.52,7.8085,11.0768,1013.56,5.1,24,85.8,96,99.9,174
18.64444444,0.45,7.3738,11.27,1013.61,1.6,3.1,87.2,72,25.5,77
17.02222222,0.56,8.372,11.27,1013.11,1.5,15.8,85.8,76,75.5,161
14.90555556,0.67,10.8675,11.27,1012.2,24.2,17,80.8,91,85.6,167
14.86111111,0.67,4.8139,11.2056,1011.7,12.9,11,83.8,98,90.2,169
12.17777778,0.67,10.9319,11.2056,1011.32,0.9,2.6,83.2,94,96.3,172
10.60555556,0.74,10.8514,9.982,1011.23,1.3,6.7,85.8,102,98.3,173
8.438888889,0.83,9.177,9.982,1012.05,0.9,2.6,84.5,72,85.1,166
8.316666162,0.83,10.9319,15.8263,1012.15,1.3,6.7,85,76,81.9,165
7.85,0.83,6.5366,15.8263,1011.83,4.4,4.9,78.3,96,89.6,169
9.966666162,0.77,14.2163,15.8263,1011.45,9.5,14,77.8,111,97.2,173
13.49444444,0.62,3.6064,2.0125,1012.05,8.2,11.2,82.8,99,97.8,173
16.04444444,0.53,8.4364,11.2056,1011.18,31.7,31.4,86.1,109,101.8,175
18.65,0.47,13.8943,14.168,1009.83,3.1,8.5,80.9,146,131.6,190
20.97222222,0.41,15.5848,11.27,1009.99,2,14.2,81.3,53,81.1,164
19.92777778,0.4,22.0892,11.27,1010.33,13.9,14.4,79.6,45,13.5,53
19.85555556,0.36,22.3468,10.3523,1010.43,10.8,91.4,77.1,52,52,142
17.84444444,0.43,18.0642,11.2056,1010.29,20,59.4,82,64,58.6,153
