PM10,AQI,PM25
26.4,81,20
20.5,69,15
14.7,56,9
11.8,49,9
8.9,37,6
6.9,29,5
7.9,33,9
16.4,60,25
19.2,66,22
13.1,53,7
11,46,9
9,38,7
7.5,31,6
7.7,32,8
8.8,37,10
11.9,50,15
11.4,48,11
14.2,55,17
14.6,56,15
15.3,58,16
18.6,65,22
16.3,60,14
25.1,78,34
21,70,17
17.5,62,14
12.7,52,8
11.3,47,10
10.1,42,9
14,55,18
21,70,28
24,76,27
38,107,52
40.5,113,43
27.2,83,14
21.1,70,15
16.5,60,12
14.2,55,12
12.6,52,11
12.8,52,13
12.9,53,13
14.4,56,16
13.7,54,13
15.8,59,18
14.4,56,13
14.6,56,15
13.2,53,11
12.3,51,11
9.9,41,8
11.4,48,13
12.2,51,13
12.6,52,13
16.3,60,20
25.6,79,35
32.8,95,40
41.9,117,51
47.9,132,54
53.9,146,60
34.4,98,15
22.2,72,10
18.1,64,14
15.5,58,13
13.2,53,11
12.6,52,12
13.3,54,14
14.1,55,15
12.5,52,11
15.2,58,18
15.1,57,15
14.9,57,15
14.9,57,15
13.7,54,12
13,53,12
12.6,52,12
12,50,11
13.1,53,15
12.3,51,11
10.5,44,9
27.7,84,45
41.4,116,55
53.2,145,65
53.1,144,53
39.5,111,26
32.7,94,26
29.8,88,27
21.4,71,13
15.7,59,10
15.8,59,16
16.4,60,17
16.7,61,17
14.8,57,13
15.4,58,16
15.2,58,15
14,55,13
13.5,54,13
13.2,53,13
12.4,52,11
10.7,45,9
10.3,43,10
10.1,42,10
10.1,42,10
10,42,10
10,42,10
10.4,43,11
11.2,47,13
11.4,48,12
10.6,44,9
11,46,12
10.4,43,9
9.4,39,8
8.1,34,7
10.4,43,13
10.2,43,10
9.6,40,9
10.7,45,12
12.4,52,14
13.2,53,14
14.6,56,16
14.8,57,15
13.9,55,13
11.9,50,10
13.9,55,16
12.1,51,10
8.9,37,6
8.9,37,9
9.4,39,10
13.2,53,17
17.6,63,22
26.3,81,35
42.1,117,58
45,124,48
29,87,13
19,66,9
13.5,54,8
12.2,51,11
11.1,46,10
11.5,48,12
11.2,47,11
10.6,44,10
11.8,49,13
11.4,48,11
11.1,46,11
10.7,45,10
10,42,9
9.2,38,8
8.7,36,8
8.8,37,9
10,42,12
10.4,43,11
10.6,44,11
11.1,46,12
12.4,52,14
15.8,59,19
16.4,60,17
16.2,60,16
19.1,66,22
19.5,67,20
23.2,74,27
27.6,84,32
28.8,86,30
29.9,88,31
29.4,87,29
31.7,92,34
35.3,100,39
35.6,101,36
35.8,102,36
36.8,104,38
35.4,100,34
35.2,100,35
34.3,98,32
33.7,96,32
32.5,94,29
31.1,91,28
31.3,91,32
32.3,93,35
34.2,97,39
34.7,99,36
33.9,97,32
32.5,94,29
29.6,88,25
23.1,74,18
23.5,75,24
22.2,72,21
24.6,77,27
36.8,104,49
48.4,133,60
42.7,119,37
37.3,105,32
