PM10,AQI,PM25,,
89.1,168,87,,
105.5,177,122,,
100.2,174,95,,
89.6,169,79,,
76.3,162,63,,
58.6,153,41,,
55.3,150,52,,
64.1,155,73,,
74,161,84,,
56.5,152,39,,
43.7,121,31,,
36.8,104,30,,
35.4,100,34,,
31.7,92,28,,
38.3,108,45,,
45.6,126,53,,
55.3,150,65,,
62.6,155,70,,
62.3,155,62,,
72.1,160,82,,
80.5,164,89,,
81.2,164,82,,
77.6,162,74,,
64.3,156,51,,
54.6,148,45,,
40.8,114,27,,
46.4,128,52,,
47.2,130,48,,
65.1,156,83,,
83.5,165,102,,
89.7,169,96,,
96.3,172,103,,
98.6,173,101,,
90.8,169,83,,
79.4,163,68,,
73.2,160,67,,
72.6,160,72,,
69.8,158,67,,
53.4,145,37,,
41.6,116,30,,
34.8,99,28,,
34.4,98,34,,
31.1,91,28,,
28.5,85,26,,
27.2,83,26,,
24.1,76,21,,
22.5,73,21,,
22.7,73,23,,
25.3,79,28,,
21.1,70,17,,
24.5,77,28,,
33.2,95,42,,
33.1,95,33,,
37.5,106,42,,
47.2,130,57,,
64.6,156,82,,
79.8,164,95,,
70.4,159,61,,
63.7,155,57,,
51.8,141,40,,
40.4,113,29,,
40.2,113,40,,
43.1,120,46,,
42.5,118,42,,
48.2,132,54,,
56.6,152,65,,
62.8,155,69,,
63.9,155,65,,
68.9,158,74,,
71.4,159,74,,
70.2,159,69,,
69.6,158,69,,
71.1,159,73,,
70.5,159,70,,
67.3,157,63,,
65.1,156,57,,
64.4,156,60,,
62.8,155,58,,
59.8,153,54,,
64.3,156,76,,
98.6,173,131,,
111.3,180,124,,
91.6,170,72,,
74.8,161,58,,
62.9,155,51,,
69.4,158,76,,
67.2,157,65,,
62.1,154,57,,
56.5,152,51,,
61.7,154,67,,
64.8,156,68,,
74.4,161,84,,
81.2,164,88,,
84,166,90,,
80.1,164,75,,
79.2,163,78,,
76,162,72,,
71.2,159,65,,
68.9,158,66,,
66.3,157,63,,
68.1,158,67,,
67.2,157,65,,
69.8,158,76,,
88.5,168,112,,
127.2,188,163,,
146.6,198,166,,
126.3,188,106,,
91.1,169,56,,
69.5,158,48,,
63.7,155,58,,
59.3,153,55,,
56.1,151,53,,
58.5,153,61,,
58.7,153,59,,
60.8,154,63,,
68.4,158,76,,
66.2,157,64,,
66,156,66,,
66.3,157,68,,
69.2,158,74,,
69.5,158,72,,
64.8,156,54,,
61.8,154,55,,
62.3,155,63,,
67.9,157,80,,
81.7,165,97,,
96.3,172,109,,
111.1,180,126,,
139.6,194,168,,
161.3,212,183,,
155.6,206,150,,
125.8,187,96,,
97.4,173,69,,
76.7,162,56,,
67.8,157,59,,
62.4,155,57,,
55.2,150,48,,
55.5,151,56,,
59.7,153,64,,
60.3,153,61,,
63.1,155,66,,
60.5,154,58,,
52.7,143,45,,
55.3,150,56,,
54.6,148,53,,
54.1,147,53,,
56.6,152,62,,
55.8,151,54,,
68.9,158,84,,
77.2,162,86,,
95.4,172,113,,
106.7,177,118,,
117.3,183,128,,
119.6,184,122,,
102.8,175,86,,
69.4,158,36,,
59.7,153,50,,
53.3,145,47,,
53.6,146,54,,
49.8,136,46,,
55.9,151,62,,
54.9,149,54,,
57.4,152,60,,
58.7,153,60,,
60.3,153,62,,
59.6,153,59,,
57.5,152,55,,
56.8,152,55,,
56.9,152,57,,
56.2,151,54,,
56.4,151,57,,
57.7,152,61,,
58.4,152,63,,
68.4,158,84,,
77.1,162,89,,
96.8,172,113,,
111.9,180,127,,
119.9,184,128,,
130.4,190,141,,
113.7,181,97,,
98.3,173,83,,
92.1,170,86,,
77.5,162,63,,
70.7,159,64,,
60.8,154,51,,
69.9,158,79,,
66.4,157,63,,
67.7,157,69,,
73.3,160,79,,
70.6,159,68,,
67.4,157,64,,
62.6,155,55,,
60.3,153,57,,
61,154,61,,
59.2,153,56,,
59.1,153,59,,
60.6,154,63,,
58,152,53,,
56.6,152,54,,
58,152,61,,
54,147,46,,
52.9,144,49,,
54,147,57,,
54.3,147,55,,
53.9,146,53,,
53.3,145,52,,
54.3,147,57,,
56.7,152,63,,
58.4,152,63,,
58.6,153,59,,
67.1,157,78,,
71.2,159,77,,
63.1,155,51,,
60.7,154,56,,
52.1,142,43,,
52.1,142,22,,
41.6,116,37,,
44.1,122,46,,
38.7,109,34,,
40.4,113,42,,
40.7,114,41,,
39.3,110,38,,
51.7,141,64,,
67.3,157,83,,
82.7,165,98,,
93.8,171,105,,
99.9,174,106,,
99.9,174,115,,
32.7,91,72,,
75.5,161,76,,
82.2,165,89,,
85.6,167,91,,
90.2,169,98,,
97.7,173,110,,
96.3,172,94,,
98.3,173,102,,
92.2,170,81,,
85.1,166,72,,
81.9,165,76,,
86.1,167,94,,
89.6,169,96,,
97.2,173,111,,
97.8,173,99,,
101.8,175,109,,
115.4,182,130,,
131.6,190,146,,
109.3,179,87,,
81.1,164,53,,
81,164,81,,
81,164,61,,
12.3,45,45,,
52,142,52,,
58.6,153,64,,
61.9,154,65,,
61.4,154,61,,
63.7,155,66,,
63.8,155,64,,
62.9,155,62,,
67.4,157,73,,
65.3,156,63,,
62.1,154,57,,
59.7,153,56,,
57.1,152,50,,
58.7,153,62,,
74.9,161,94,,
98.5,173,121,,
118.2,183,138,,
130.6,190,143,,
125.3,187,120,,
115.1,182,105,,
114.5,181,114,,
97.7,173,81,,
97.8,173,83,,
72.4,160,81,,
33.9,97,24,,
49.7,136,39,,
47.4,130,46,,
53.7,146,59,,
64.8,156,75,,
66.4,157,68,,
64.7,156,63,,
61.8,154,59,,
58.4,152,55,,
60.2,153,62,,
64.1,155,68,,
58.2,152,52,,
58.5,153,59,,
92.7,170,127,,
138.4,194,184,,
138.4,194,184,,
50.9,139,48,,
27.1,82,30,,
32.5,95,30,,
9.3,39,5,,
41,113,63,,
54.5,148,49,,
54.5,148,53,,
49,134,47,,
46,127,44,,
42.7,119,40,,
41.8,117,39,,
40.6,114,39,,
42.7,119,46,,
45.9,127,51,,
45.2,125,44,,
44.7,124,44,,
46.1,127,51,,
45,124,42,,
55.4,150,69,,
56.5,152,58,,
63.2,155,71,,
80.1,164,96,,
91.5,170,103,,
97.2,173,103,,
98.6,173,100,,
101.8,175,105,,
92.9,170,84,,
78.9,163,65,,
65.9,156,53,,
57.4,152,49,,
52.7,143,48,,
52.3,142,52,,
49.1,134,46,,
49,134,49,,
50,137,51,,
53.5,145,57,,
56.2,151,59,,
60.8,154,67,,
63.3,155,71,,
66.6,157,72,,
66.7,157,67,,
63.9,155,59,,
70.2,159,79,,
77.9,163,86,,
76.6,162,76,,
78.2,163,81,,
82.3,165,90,,
101.3,175,118,,
109.6,179,118,,
108.3,178,107,,
106.6,177,105,,
83.8,166,61,,
67.9,157,52,,
63.4,155,59,,
56.2,151,49,,
57.6,152,59,,
57.3,152,57,,
56.6,152,56,,
58.3,152,60,,
60.6,154,63,,
61.8,154,63,,
63.4,155,65,,
62.1,154,65,,
63.6,155,67,,
63.2,155,62,,
62.6,155,61,,
62.6,155,63,,
61.4,154,56,,
61.4,154,61,,
61.7,154,62,,
67.8,157,82,,
91,169,111,,
101.6,175,112,,
114.3,181,127,,
105.1,177,96,,
95,171,85,,
78,163,61,,
69.5,158,61,,
