PM10,AQI,PM25
37.6,107,34
54.7,151,65
52.4,142,43
90.8,169,85
52.9,143,66
43.8,122,48
42.2,117,35
88.5,168,87
35.1,102,43
67.2,157,50
43.9,122,22
60.3,154,64
97.3,174,83
46.1,124,53
55.1,151,42
101.9,177,111
30,89,8
25.5,79,29
52.6,144,43
51,138,54
50.4,140,52
72.7,161,69
55.7,151,52
43.9,122,22
15.1,55,13
41.3,117,40
50.4,137,52
52.6,145,61
53.5,148,60
16.3,57,12
82.9,166,80
72.5,160,69
27.4,83,31
90.7,170,90
83.7,166,86
46.9,127,54
64.3,155,70
48.9,133,47
41.1,113,40
30.8,89,35
68.2,158,71
64.2,155,70
49.9,136,45
91.3,170,90
24,75,19
87.5,167,89
25.5,80,33
44.6,123,48
51.8,142,53
24.1,80,27
47.4,130,47
97.3,173,98
101.9,176,111
29.7,86,31
30,90,32
66.5,157,56
50.3,138,51
55.1,150,56
44.4,122,39
31.4,91,37
23.3,73,15
32.1,92,31
51.9,144,52
57.3,152,49
31.4,92,37
80.2,163,74
43.3,121,49
28.9,82,25
61,154,66
41,113,34
58.9,153,64
64.3,156,58
41.8,115,48
85.3,167,88
58.1,153,54
40.9,115,35
24,74,19
40.4,114,41
19.6,65,16
45.9,127,53
50.3,138,54
86.8,167,82
36.5,103,33
44.4,124,39
20,67,21
50.4,137,54
25.6,76,15
40.8,114,50
61.5,155,53
50.3,138,51
44.1,121,39
26.8,83,15
11.4,48,7
10.6,44,10
19.8,67,28
27.1,83,34
29,87,31
26,80,23
29.5,88,33
23.7,75,18
20.8,69,18
18.4,64,16
18.7,65,19
25.8,80,33
31.4,92,37
19.7,67,8
18.3,64,17
15.1,57,12
14.5,56,14
13.2,53,12
13.1,53,13
11.5,48,10
15.7,59,20
14.8,57,14
31.4,92,48
28.2,85,25
35.6,101,43
43.3,120,51
54.6,148,66
50.3,137,46
48.6,133,47
41.3,115,34
26.6,81,12
22.8,74,19
19.9,67,17
23.4,75,27
32.7,94,42
41.3,115,50
47.1,130,53
56,151,65
60,153,64
46,127,32
