"","X","PM10","AQI","PM25"
"1",1,44.2,122,38
"2",2,48.1,132,55
"3",3,45.9,127,42
"4",4,47,129,49
"5",5,52.8,144,62
"6",6,74.3,161,94
"7",7,92.1,170,110
"8",8,106,177,120
"9",9,113.5,181,121
"10",10,112.2,180,111
"11",11,89.6,169,67
"12",12,64.3,156,39
"13",13,48.6,133,33
"14",14,41.8,117,35
"15",15,41.4,116,41
"16",16,38.2,108,35
"17",17,37,105,36
"18",18,36,102,35
"19",19,36,102,36
"20",20,44.4,123,53
"21",21,51.2,140,58
"22",22,48.6,133,46
"23",23,57.3,152,66
"24",24,43.1,120,29
"25",25,39.5,111,36
"26",26,36.7,104,34
"27",27,34.8,99,33
"28",28,35.9,102,37
"29",29,37.4,106,39
"30",30,59.2,153,81
"31",31,76.6,162,94
"32",32,95.8,172,115
"33",33,107.4,178,119
"34",34,111.7,180,116
"35",35,112.8,181,114
"36",36,81.9,165,51
"37",37,56.4,151,31
"38",38,41.7,116,27
"39",39,36.8,104,32
"40",40,33.9,97,31
"41",41,35.4,100,37
"42",42,36.2,103,37
"43",43,42.1,117,48
"44",44,52.5,143,63
"45",45,69.2,158,86
"46",46,73.1,160,77
"47",47,70.5,159,68
"48",48,68.7,158,67
"49",49,63.3,155,58
"50",50,53.1,144,43
"51",51,74.6,161,96
"52",52,87.8,168,101
"53",53,100.4,174,113
"54",54,100.7,174,101
"55",55,106.8,177,113
"56",56,109.4,179,112
"57",57,109.2,179,109
"58",58,107.1,178,105
"59",59,106,177,105
"60",60,92,170,78
"61",61,71,159,50
"62",62,60.5,154,50
"63",63,51.7,141,43
"64",64,48.8,134,46
"65",65,55.4,150,62
"66",66,60.7,154,66
"67",67,65.8,156,71
"68",68,70.9,159,76
"69",69,71.4,159,72
"70",70,68.7,158,66
"71",71,67.9,157,67
"72",72,64.8,156,61
"73",73,61.9,154,58
"74",74,57.6,152,52
"75",75,56.1,151,53
"76",76,59.9,153,65
"77",77,73.7,160,92
"78",78,99.9,174,124
"79",79,111.9,180,124
"80",80,134.5,192,157
"81",81,140.7,195,147
"82",82,140.8,195,141
"83",83,122.9,186,105
"84",84,87.4,167,52
"85",85,66.2,157,45
"86",86,53.6,146,41
"87",87,46.3,128,39
"88",88,45.1,125,44
"89",89,40.5,113,36
"90",90,44.2,122,48
"91",91,46.1,127,48
"92",92,54.5,148,63
"93",93,56.2,151,58
