"","PM10","AQI","PM25"
"1",13.4,54,10
"2",10.2,43,7
"3",7.1,30,4
"4",6,25,5
"5",12,50,18
"6",14.5,56,17
"7",20.2,68,26
"8",27.1,83,34
"9",24,76,21
"10",16,59,8
"11",14.5,56,13
"12",11.7,49,9
"13",9.3,39,7
"14",7.6,32,6
"15",6.8,28,6
"16",5.9,25,5
"17",7.4,31,9
"18",7.2,30,7
"19",6.6,28,6
"20",7.3,30,8
"21",8.6,36,10
"22",11.3,47,14
"23",19.6,67,28
"24",21.3,70,23
"25",12.1,51,3
"26",8,33,4
"27",5.5,23,3
"28",3.7,15,2
"29",2.8,12,2
"30",4.9,20,7
"31",4.9,20,5
"32",5.4,23,6
"33",9.7,40,14
"34",11.3,47,13
"35",17.6,63,24
"36",18.8,65,20
"37",17.9,63,17
"38",17.9,63,18
"39",17.9,63,18
"40",18.4,64,19
"41",21.2,70,24
"42",26.6,81,32
"43",34.3,98,42
"44",35.6,101,37
"45",35.3,100,35
"46",36.1,102,37
"47",32.5,94,29
"48",30.7,90,29
"49",27.8,84,25
"50",25.9,80,24
"51",24.4,77,23
"52",25.3,79,26
"53",26.1,80,27
"54",24.6,77,23
"55",24.5,77,24
"56",25.1,78,26
"57",26.1,80,28
"58",28.1,85,33
"59",27.1,83,25
"60",29.9,88,35
"61",32.8,95,37
"62",37.4,106,42
"63",40.7,114,44
"64",40.3,113,40
"65",40.6,114,41
"66",43.2,120,46
"67",45.5,126,48
"68",46.2,127,47
"69",49.1,134,52
"70",49,134,49
"71",48,132,48
"72",46.1,127,42
"73",44.7,124,40
"74",42.7,119,38
"75",36.3,103,30
"76",36.6,104,37
"77",37.6,106,39
"78",38.2,108,39
"79",41.9,117,47
"80",45.7,126,51
"81",49.5,135,54
"82",47.9,132,46
"83",47.9,132,48
"84",45.7,126,43
"85",43.2,120,40
"86",43.5,121,44
"87",44,122,44
"88",43.9,122,43
"89",45,124,48
"90",45.6,126,47
"91",46.5,128,49
"92",48.4,133,54
"93",49.3,135,52
"94",49,134,48
"95",49.8,136,52
"96",48.5,133,45
"97",46.7,129,41
"98",45.3,125,41
"99",45.2,125,45
"100",44.9,124,44
"101",45.4,125,47
"102",46.8,129,51
"103",47.5,131,50
"104",49.9,136,56
"105",51.3,140,55
"106",52.6,143,56
"107",51.3,140,48
"108",50.2,137,47
"109",52.9,144,59
"110",52.5,143,52
"111",54,147,58
"112",54.7,148,58
"113",55.1,149,56
"114",53.8,146,49
"115",54.1,147,55
"116",53.2,145,50
"117",50.6,138,44
"118",49.6,136,47
"119",48.7,134,46
"120",49.8,136,53
"121",49.1,134,47
