PM10,AQI,PM25
540.8,527,647
608.4,571,676
612.7,574,617
555.4,536,498
494.2,496,433
429.1,453,364
394,430,359
390,427,386
395.9,431,399
420.8,447,449
390.2,427,356
298.4,348,208
224.1,274,150
181,231,138
149.9,200,119
138.9,194,128
126.4,188,114
116.6,183,107
138.3,194,160
169.1,219,200
192,242,215
220.9,271,250
276.9,327,333
352.5,402,428
436.8,458,521
539.9,526,643
610,572,680
590,559,570
524,516,458
413.5,443,303
360.8,408,308
320.4,370,280
306.2,356,292
293.6,344,281
278.2,328,263
259.1,310,240
186.5,237,114
151.6,202,117
124.7,187,98
106.8,177,89
88.3,168,70
90.6,169,93
110.8,180,131
124.8,187,139
166.9,217,209
200.9,251,235
245.4,295,290
336.2,386,427
392.6,429,449
416.3,444,440
418.7,446,421
396.3,431,374
364.2,410,332
338.1,388,312
324,374,310
319,369,314
318.7,369,317
289.5,340,251
205.7,256,127
135.8,192,66
86.3,167,37
65.6,156,45
52.2,142,39
47,129,42
44,122,41
44.4,123,45
94.7,171,145
142.3,196,190
201.6,252,261
188.8,239,176
194.9,245,201
194.9,245,195
194.5,245,194
202.2,252,210
210.1,260,218
231.1,281,252
246,296,261
252,302,263
273.1,323,304
283.2,333,297
290.7,341,301
276.4,327,258
265.8,316,247
235.8,286,188
171.9,222,119
140.9,195,110
133.4,191,126
121.7,185,110
116.3,182,111
114.1,181,112
129.5,189,145
170.7,221,212
201.8,252,233
224.9,275,248
222.9,273,221
217.9,268,213
215,265,212
216,266,217
206,256,196
191.5,242,177
184.2,234,177
198.5,249,214
203.2,253,211
201,251,196
202,252,205
199.5,250,192
195.9,246,183
184.6,235,159
133.7,191,93
100.3,174,67
89.1,168,78
86.5,167,84
89.2,168,92
95.6,172,102
108.8,179,122
127.3,188,146
153.6,204,180
163.8,214,174
173.9,224,184
175.4,226,177
177.2,227,179
168.1,218,159
188,238,208
196,246,204
194.5,245,193
193,243,193
188.4,239,182
187,237,183
193.8,244,213
191.4,242,184
189.5,240,184
180.8,231,157
167.9,218,145
123.3,186,88
111.1,180,99
109,179,107
116.5,182,124
117.2,183,118
113.6,181,110
118.8,184,124
123.3,186,128
120.6,185,118
109.2,179,95
104.2,176,95
104.9,177,102
103.5,176,96
100.8,174,94
96.4,172,89
94.3,171,90
95.6,172,99
104.3,176,124
118.8,184,141
134.5,192,153
126.8,188,116
123.5,186,119
118.7,184,112
108.8,179,95
108.8,179,109
116.9,183,128
119.8,184,124
128,188,142
124.2,186,118
155.3,206,187
167.4,218,180
154.9,205,142
153.5,204,152
143.4,196,133
129.9,189,116
124.5,187,113
116.7,183,107
110.1,179,103
108.7,178,107
99.3,174,91
94.1,171,89
95,171,96
102.7,175,112
114,181,130
114.6,182,121
114.7,182,116
122,185,135
136.3,193,153
147.4,198,160
154.7,205,163
161.3,212,168
158.3,209,155
164.7,215,173
159.4,210,154
155.2,206,147
144.5,197,123
132.5,191,112
115.9,182,99
101.2,175,89
96.7,172,92
84.6,166,73
76.7,162,69
68.3,158,60
71.1,159,74
75.5,161,80
87.2,167,99
101.1,175,115
111,180,121
114.5,181,118
112.7,181,111
112.3,180,112
103.6,176,95
101.8,175,100
97.4,173,93
89.8,169,75
84.3,166,75
80.1,164,74
83.1,165,88
95.9,172,116
113.2,181,133
127.3,188,141
139.7,194,151
139.4,194,139
145.7,198,152
145.3,197,145
144.1,197,143
119,184,94
107.5,178,96
104.5,176,95
104.4,176,101
101.1,175,96
103.7,176,108
119.1,184,144
131.6,190,152
138.6,194,150
147.2,198,158
143,196,137
145.4,197,149
140.8,195,134
120.4,185,92
102.8,175,85
108.4,178,115
134.3,192,163
179.7,230,224
206.3,256,233
215.6,266,225
223.3,273,231
221.6,271,220
193.8,244,166
165.4,216,137
152.2,203,139
147.1,198,142
160.5,211,174
168,218,178
170.5,221,174
173.1,223,177
176.2,226,181
160.2,211,137
130.1,190,103
99,173,68
90.5,169,82
93.7,171,97
95.8,172,98
101.4,175,107
107.2,178,113
146.6,198,186
157.3,208,168
166.6,217,176
191.8,242,217
233.9,284,276
272.4,323,311
288.7,339,305
275.4,326,262
255.2,306,235
247.1,297,239
243,293,239
276,326,313
271.8,322,267
276.4,327,283
258.1,309,224
221,271,178
186.7,237,158
150,200,114
123,186,96
106.9,178,91
93.9,171,81
83.4,165,73
76.7,162,70
84.8,166,93
111.3,180,138
145.6,198,180
181.3,232,217
199.6,250,218
242.3,292,285
273.2,323,304
300.6,351,328
303.8,354,307
304.4,354,305
293.7,344,283
292.9,343,292
293.9,344,295
287.7,338,280
275.2,325,248
262.2,313,236
244.2,294,213
209,259,178
185.3,235,165
181.2,231,173
158.9,209,139
146.9,198,135
136.9,193,127
135.9,193,135
134.4,192,133
163.5,214,194
180.6,231,202
175.6,226,174
157.7,208,130
154.4,205,149
158.3,209,165
153.7,204,146
146.4,198,134
132.6,191,116
112.2,180,95
101.6,175,91
90.3,169,79
85.1,166,80
91.5,170,98
117.7,183,144
127.3,188,137
132.1,191,137
138.3,194,147
173.3,224,207
161.6,212,150
138.8,194,116
108.9,179,79
90.9,169,73
83.9,166,77
85.9,167,88
98.4,173,111
104.2,176,110
100.6,174,97
99.3,174,98
104.6,176,110
104.8,176,105
96.3,172,84
89.5,169,76
89,168,88
86.5,167,80
76.4,162,65
68.1,158,60
78.1,163,90
80.8,164,84
101.6,175,122
108.8,179,116
109.9,179,111
116.4,182,123
124.2,186,132
137.6,193,151
122.3,185,107
107.1,178,92
101.5,175,96
108.9,179,116
117.8,183,129
147.3,198,178
161.6,212,177
158.9,209,156
157,207,155
154.1,205,151
142.4,196,130
134,192,125
125.3,187,116
125.1,187,124
130.6,190,135
143.4,196,167
148.2,199,157
150.7,201,156
146.5,198,140
136.6,193,115
130,189,116
130.2,190,131
138.3,194,156
141.4,195,148
150.5,201,169
161.6,212,179
168.4,219,180
174.2,224,183
190.3,240,207
204,254,218
217.7,268,230
203.8,254,190
183.6,234,157
145.2,197,110
109,179,73
88.5,168,68
78.2,163,68
93.6,171,109
102.3,175,111
109.6,179,117
112.8,181,116
110.3,179,108
113.6,181,117
128.3,189,143
138.6,194,149
134.3,192,130
110.6,179,87
92.8,170,75
80.9,164,69
76.4,162,72
84.2,166,92
95.6,172,107
108.8,179,122
127.9,188,147
149.4,199,171
164.7,215,180
170.3,221,176
160.1,211,150
146,198,132
136.5,193,127
128.2,189,120
115.6,182,102
100,174,85
89.5,169,79
85.7,167,82
87.8,168,90
90.4,169,93
114.2,181,138
132.5,191,153
157.3,208,181
154.6,205,152
137.8,193,121
117.9,183,98
103.4,176,89
104.2,176,105
113.6,181,123
129.3,189,145
161.1,212,193
183.5,234,206
192.3,242,201
188.1,238,184
171,221,154
156,206,141
149,199,142
141,195,133
126.4,188,111
109,179,92
98.9,173,89
130,189,161
140.4,195,151
141.2,195,142
141.6,195,142
145.8,198,152
136.9,193,126
123.5,186,107
118.8,184,113
115.3,182,111
115.6,182,116
117.5,183,120
122.4,186,130
136.3,193,163
146.1,198,164
150.2,200,158
151.2,202,153
150.1,200,148
145.2,197,136
138.1,194,123
130.9,190,116
127.9,188,118
123.3,186,114
118.8,184,111
118.5,184,118
118.5,184,119
122.7,186,132
125.3,187,133
144.9,197,176
164.6,215,189
169.3,220,176
172.9,223,178
167.2,218,159
153.9,204,135
146.5,198,136
144.9,197,140
164.7,215,196
170.5,221,186
180.2,230,199
211.9,262,244
222.6,272,236
229.1,279,237
237.4,287,247
245.5,295,254
241.5,291,237
225.9,276,208
220.8,271,214
218.6,268,201
214.5,264,203
215.4,265,210
215.4,265,213
218.9,269,233
224.4,274,245
229.1,279,246
225.7,276,215
214.4,264,182
193.3,243,160
161.2,212,133
139.3,194,121
138.6,194,138
159.3,210,180
175.6,226,192
193.3,243,211
199.1,249,205
216.5,266,234
209.9,260,204
239.6,289,269
278.3,329,317
328.6,378,379
360.8,408,393
348.4,398,336
314.2,364,280
235.1,285,156
195.5,246,156
182.2,232,169
183.6,234,185
220.8,271,258
236.9,287,253
215.4,265,194
203.7,254,192
189.8,240,176
176.3,227,163
164.3,215,149
156.7,207,145
156.8,207,157
163,213,171
170.4,221,180
179,229,190
182.6,233,188
138.1,194,92
110.5,179,83
99.2,174,88
92.6,170,86
93.3,171,94
89.6,169,86
89.3,168,89
86.6,167,84
86.8,167,87
86.3,167,86
80.6,164,75
71.3,159,56
55.1,149,42
46,127,37
36.5,103,27
31.7,92,27
29.3,87,27
32.6,94,36
39.3,110,46
48.6,133,58
60.8,154,73
75.4,161,90
77.7,162,80
79.8,164,82
80.9,164,82
79.4,163,78
79.7,163,80
75.8,161,72
73.9,161,72
73.5,160,73
72.4,160,69
72.8,160,69
72.6,160,72
74.4,161,80
77,162,87
77.3,162,79
75.4,161,69
71.1,159,61
63.1,155,53
56.2,151,49
46.3,128,38
50.1,137,54
45.5,126,41
53.2,145,61
65.1,156,77
83,165,101
104.5,176,126
132.2,191,160
144.1,197,156
152.5,203,161
151.8,202,151
158.9,209,166
148.4,199,138
132.7,191,117
123.3,186,114
118.1,183,113
117.6,183,111
120.7,185,122
114.8,182,106
108.3,178,100
95.8,172,85
82.2,165,69
70.1,159,58
66.5,157,63
60.2,153,54
60.6,154,61
69.3,158,78
73.6,160,78
92.3,170,111
128.6,189,165
165.3,216,202
197.1,247,229
221.1,271,245
240.5,290,260
256.8,307,273
268.4,319,280
277.2,327,286
293.6,344,310
311.3,361,329
294.2,344,277
272.6,323,251
260,310,233
242.2,292,209
190.9,241,151
154.4,205,118
119.7,184,85
95.3,172,71
82.6,165,70
74.2,161,66
72.1,160,70
71.5,159,71
77.7,162,84
110.8,180,144
129.4,189,148
164.7,215,200
186.8,237,209
201.4,251,216
213.2,263,225
222.1,272,231
225,275,228
223,273,221
220.5,270,218
217.2,267,214
220.5,270,225
226.8,277,237
228.3,278,246
237.2,287,264
243.9,294,268
248.5,298,263
239.8,289,206
218.3,268,178
227.3,277,245
153.6,204,82
100.3,174,47
123.1,186,146
155.5,206,188
171.2,222,187
211.1,261,251
151.5,202,92
112.7,181,74
121.8,185,131
137.4,193,153
116.2,182,95
99.5,174,83
97.2,173,95
101.6,175,106
105.8,177,110
94.3,171,83
88.6,168,83
81.8,165,75
76.4,162,71
86.7,167,97
106.8,177,127
110.3,179,118
110.6,179,111
121.9,185,134
128.2,189,135
127.6,188,127
125.4,187,123
127.1,188,129
139.1,194,151
137,193,135
131.9,190,126
129.9,189,125
129.1,189,127
125.6,187,116
116.7,183,101
92.6,170,74
81.3,164,70
75.1,161,69
69,158,63
66,156,63
64.5,156,63
85.2,166,106
82.6,165,80
74.8,161,67
70.9,159,66
68,157,63
57.3,152,48
54.1,147,51
49.5,135,45
47.7,131,46
42.3,118,37
47.1,130,52
62.5,155,78
82.2,165,102
103.6,176,125
116.8,183,130
123.4,186,130
128.2,189,133
118.6,184,109
105.8,177,93
102.4,175,99
108.2,178,114
101.6,175,95
97.1,172,89
98.2,173,96
114.5,181,143
137.4,193,162
126.4,188,113
102.4,175,78
97.2,173,92
94,171,91
77.5,162,61
55.2,150,33
41.1,115,27
39.5,111,38
45.7,126,52
63.3,155,81
78.6,163,94
98.8,173,119
107.4,178,116
111.2,180,115
105.6,177,100
99.8,174,94
100.4,174,101
111.7,180,123
113.3,181,115
106.1,177,99
103.5,176,97
105.8,177,109
108.2,178,115
110,179,116
109.7,179,109
100.3,174,81
75.5,161,55
66.7,157,58
63.3,155,60
55.1,149,47
57.5,152,60
60.7,154,64
69.8,158,79
75.4,161,81
115.7,182,156
120.3,184,125
113.6,181,107
111.3,180,109
