PM10,AQI,PM25
228.1,278,249
234.1,284,240
235,285,236
220.5,270,206
210.7,261,201
204.4,254,198
186.8,237,158
166.8,217,142
151.8,202,136
139.1,194,128
137.1,193,135
123.8,186,111
110.8,180,98
106.4,177,102
99.6,174,93
82.3,165,65
70.1,159,58
64,155,58
73.5,160,83
103.2,176,133
96.1,172,89
102,175,108
106.5,177,111
104.7,176,103
105.3,177,106
111.1,180,117
113.5,181,116
115.8,182,118
110.4,179,105
110.1,179,109
114.5,181,123
133.5,191,157
152,202,178
187.6,238,218
187.3,237,187
155.1,206,123
114,181,73
80.5,164,47
65.2,156,50
55.6,151,46
48.3,133,41
51.6,141,55
59.3,153,67
75.1,161,91
95,171,115
108.5,178,122
121.7,185,135
127.3,188,133
130.6,190,134
148.8,199,167
176.4,227,204
218.2,268,260
240.1,290,262
234.5,284,229
215.8,266,197
207.4,257,199
209.2,259,211
187.9,238,166
155.3,206,123
135.1,192,115
112,180,89
95,171,78
90.9,169,87
94.4,171,98
99.7,174,105
102.3,175,105
105.6,177,109
121.3,185,137
131.6,190,142
143.1,196,155
146.5,198,150
139.3,194,132
131.7,190,124
128.7,189,124
148.5,199,174
181.4,232,212
220.7,271,260
242.8,292,265
266.4,317,290
268.2,319,270
251.1,302,234
246,296,241
248.5,298,251
221.2,271,194
191.1,241,161
153.5,204,116
113.7,181,74
95.8,172,78
86.9,167,78
76.9,162,67
88.4,168,100
130.2,190,172
132,190,134
133,191,134
152.5,203,172
174.7,225,197
187.8,238,201
187.9,238,188
201.9,252,216
205.5,256,209
207.2,257,209
216.6,267,226
213.8,264,214
204.5,255,191
190.9,241,171
191.1,241,174
181.6,232,162
147.8,199,120
122.3,185,99
106.1,177,90
87,167,68
85,166,83
84.4,166,84
83.7,166,83
91.8,170,100
98.9,173,106
140.9,195,183
147.4,198,154
151.2,202,155
152.1,203,153
150.5,201,149
166.2,217,182
188.1,238,210
195,245,202
198.5,249,202
198.2,248,198
207.6,258,217
213.5,263,232
225.3,275,242
264.9,315,299
288.5,339,312
252.7,303,217
228.1,278,192
184.6,235,147
137.8,193,91
114.4,181,91
118.6,184,123
110.8,180,103
115.4,182,120
120.1,184,125
136.5,193,153
145.7,198,155
159.3,210,173
176.1,226,193
197,247,218
211.5,261,226
221.2,271,231
227.6,277,234
223.3,273,219
219.2,269,215
224.2,274,230
230.4,280,243
219.7,270,201
214.8,265,201
212.8,263,198
212.1,262,205
189.7,240,158
181.6,232,167
183,233,186
145.4,197,111
119.7,184,94
106.3,177,93
97.1,172,88
107.5,178,118
128.2,189,149
150.6,201,173
167.3,218,184
183.6,234,200
207.3,257,231
243.6,293,280
268.3,319,293
269.6,320,271
261.3,312,253
251.7,302,242
246.8,296,242
239.1,289,231
240.3,290,239
234,284,222
229.2,279,215
191.2,241,155
141.4,195,94
111.6,180,82
109.8,179,108
95.3,172,81
106.1,177,117
116.5,182,127
125.2,187,134
140.6,195,156
158.3,209,176
165.1,215,172
172.5,223,180
165.7,216,159
175.4,226,185
195.2,245,215
214.1,264,233
210,260,206
188.9,239,165
181.3,232,170
183.1,233,181
189.4,240,202
215.4,265,257
299,349,374
278.5,329,258
233.7,283,189
200.8,251,168
161.4,212,122
139.2,194,117
150,200,161
114.5,181,79
101.7,175,89
101.3,175,101
128.1,188,155
215,265,302
207,257,199
199.5,250,192
199.7,250,200
210.3,260,221
241.2,291,272
258.1,309,275
259.5,310,261
250.3,300,241
246.6,296,243
247.8,297,249
260.3,311,282
275,325,301
288.6,339,309
303,353,325
287.5,338,265
271.3,322,233
250.2,300,214
246.6,296,240
237.1,287,219
210.9,261,184
189.1,239,169
186.1,236,183
192.3,242,199
201.7,252,212
213.3,263,226
219.2,269,236
225.7,276,245
239.2,289,260
248.6,298,264
263.5,314,282
262.9,313,262
259.4,310,254
257.4,308,255
257.6,308,259
264.2,315,283
265.9,316,275
274,324,299
292.5,343,334
294.1,344,304
282,332,244
256.1,307,213
239,289,211
211,261,185
196.6,247,181
196.3,246,196
202.1,252,209
215.7,266,232
228.7,278,244
236.1,286,245
239.5,289,248
244.3,294,264
266.5,317,295
269.8,320,275
289.1,339,313
329.4,379,365
326.3,376,327
300.1,350,268
282.6,333,251
271.1,321,245
269.6,320,266
279.1,329,298
264.7,315,238
224.9,275,188
164.2,215,105
140.6,195,117
109.7,179,79
95.8,172,82
81.8,165,68
67.4,157,53
58.1,152,49
60,153,62
64.5,156,69
77.2,162,90
96.1,172,115
105.5,177,115
113.2,181,121
152.1,203,191
128,188,104
85.5,166,43
60.7,154,36
48.3,133,36
41.1,115,34
37.5,106,34
36.2,103,35
51.1,139,66
87.5,168,124
90.2,169,93
