PM10,AQI,PM25
79.3,163,78
99.6,174,120
110.3,179,121
127.6,188,145
133.8,191,140
147.9,199,162
162.4,213,177
158.7,209,155
155.3,206,152
133.1,191,111
106.5,177,80
82.7,165,59
68.3,158,54
63.6,155,59
58.8,153,54
56.9,152,55
54.4,148,52
50.2,137,46
55,149,60
66.5,157,78
82.7,165,99
103.3,176,124
99.6,174,96
105.3,177,111
112.1,180,119
118.1,183,124
124.5,187,131
118.7,184,113
110.8,180,103
100.4,174,90
104.7,176,107
119.3,184,143
159.6,210,196
167.8,218,176
138.4,194,109
111.7,180,85
85.8,167,60
69.4,158,53
55.1,149,41
49.5,135,44
44.7,124,40
41.8,117,39
54.9,149,68
71.9,159,89
87.4,167,103
95.7,172,104
110.3,179,125
113.1,181,116
114.6,182,116
123.3,186,132
130.6,190,138
139.3,194,148
132.6,191,126
134.8,192,137
138,194,144
153.4,204,175
142.9,196,128
144.5,197,148
148.1,199,155
140.3,195,125
136.7,193,126
129.9,189,118
115.9,182,101
86.9,167,61
64.4,156,42
53.2,145,42
67.1,157,81
77,162,87
95.5,172,114
99.2,174,103
95.1,171,91
109.5,179,124
106.7,177,104
99.8,174,93
100.9,174,102
104.9,177,109
110.4,179,116
115.2,182,127
116.2,182,121
129,189,147
157.7,208,182
150.3,200,143
142.2,196,134
121.1,185,99
95.7,172,71
74.3,161,53
71.1,159,68
69,158,67
67,157,65
72,160,77
73,160,74
77.4,162,82
91.2,169,105
88.1,168,85
90,169,92
93.4,171,97
94.7,171,96
106.7,177,121
112.8,181,120
113.8,181,115
118.8,184,127
115.5,182,111
117.8,183,123
128.5,189,143
138.9,194,151
139,194,142
131.2,190,119
120.2,184,101
108.7,178,92
83.9,166,64
70.4,159,57
69.7,158,69
71.3,159,73
69.6,158,68
73.8,160,78
86.4,167,99
98.1,173,110
113,181,128
114.5,181,116
123.7,186,133
122.8,186,122
126.9,188,131
138.9,194,151
136.5,193,134
135.7,192,135
133.4,191,131
132.1,191,130
134.4,192,140
135.4,192,139
134.9,192,133
131.2,190,118
128.8,189,121
119.2,184,103
110.9,180,98
97.4,173,82
88.1,168,78
77.4,162,69
75.7,161,74
82.3,165,89
95.1,171,108
115.1,182,136
124.9,187,135
134.1,192,143
136.5,193,139
142.7,196,149
138.4,194,134
137.7,193,137
133.8,191,130
132.4,191,131
139.5,194,149
143.6,196,155
139.9,195,133
138.4,194,131
140.8,195,151
135.4,192,118
124,186,104
117.6,183,105
102.4,175,88
84.2,166,69
72.1,160,60
66.5,157,61
62.2,154,58
64.1,155,66
73.5,160,83
97.7,173,122
111.8,180,126
113.4,181,115
115.2,182,117
123.1,186,131
126.5,188,130
130.7,190,135
129.9,189,129
134.4,192,139
138.7,194,143
138.9,194,141
146.6,198,167
184.1,234,219
179.8,230,175
161.5,212,141
146.2,198,125
120.4,185,98
95.2,171,70
79.6,163,64
64.7,156,50
59.3,153,54
59.6,153,60
62.8,155,66
73.4,160,84
95.1,171,117
107.5,178,120
120.2,184,133
124.1,186,128
133.5,191,143
125.2,187,117
124.1,186,123
137,193,150
146.5,198,156
150.2,200,154
159.6,210,169
157,207,167
159.9,210,166
162.9,213,169
148.2,199,116
140.9,195,125
119.4,184,97
95,171,75
81,164,67
71.4,159,62
66.7,157,62
61.8,154,57
65.4,156,69
86.7,167,108
115.3,182,144
113.6,181,112
111.3,180,109
140.6,195,170
138.3,194,136
127.6,188,117
122.8,186,118
121.4,185,120
112.2,180,103
105.1,177,98
100.3,174,93
98.3,173,96
119,184,144
114,181,108
91.1,169,68
82,165,73
74.5,161,67
72.7,160,71
69.3,158,66
66.6,157,64
76.3,162,86
74.6,161,73
88.8,168,103
103.4,176,118
101.7,175,102
101.3,175,101
103.5,176,106
109.2,179,116
108.2,178,107
106.3,177,104
106.6,177,107
103.6,176,99
101.9,175,99
103,176,98
102,175,98
103.6,176,112
108.8,179,126
106.4,177,98
105.3,177,102
106.1,177,109
101.5,175,90
80.6,164,63
71.8,159,63
72.9,160,74
74.4,161,76
79.2,163,84
93.1,170,107
103.5,176,114
104.4,176,108
114,181,123
120.6,185,127
125.8,187,131
124.4,187,123
118.2,183,112
113.1,181,106
111.5,180,109
107.2,178,98
107.5,178,101
107.4,178,107
108,178,110
112.7,181,126
112.4,180,112
110.3,179,105
104.3,176,90
92.4,170,77
87.9,168,81
84,166,78
80.6,164,76
82.3,165,85
88.1,168,97
92.4,170,99
102.2,175,117
106.3,177,117
108.6,178,113
109.1,179,110
108.7,178,108
103.2,176,93
100,174,94
96.2,172,89
92.1,170,81
86.2,167,77
79.9,164,72
83.4,165,89
87,167,93
89.1,168,93
87.5,168,85
87.3,167,87
81.2,164,67
77.3,162,68
70.7,159,61
68,157,63
62.4,155,56
62.2,154,62
61.7,154,61
70.9,159,85
73.7,160,78
76.5,162,83
87.2,167,99
92.3,170,99
96.9,172,102
99.7,174,103
105.1,177,110
109.6,179,114
109.9,179,111
106.2,177,102
110.5,179,119
111.7,180,114
117.6,183,128
130.2,190,153
135.5,192,145
124.7,187,105
105.8,177,84
83.2,165,63
70.1,159,57
66,156,62
60.5,154,55
61.7,154,63
62.8,155,64
70.9,159,79
79.9,164,89
84.9,166,90
93.7,171,104
102.7,175,111
101.3,175,100
105.6,177,110
107.8,178,110
117.4,183,127
127.2,188,137
134.1,192,141
132.5,191,133
136.1,193,144
144.6,197,155
142.3,196,142
141.5,195,140
133.2,191,118
113.6,181,89
95.6,172,80
82.3,165,70
74.1,161,66
64.5,156,55
65.2,156,66
64.1,155,63
76,162,88
89.5,169,103
94.7,171,100
99.3,174,104
98.3,173,98
101,174,104
105.6,177,110
104.3,176,103
113.1,181,122
112.4,180,112
114.6,182,117
117.8,183,129
131.2,190,153
159.8,210,186
165.1,215,171
148,199,129
126.6,188,101
107.6,178,91
94.8,171,82
78.9,163,63
71.9,159,65
65.9,156,60
62.9,155,60
64.9,156,67
72.9,160,81
92.9,170,113
87.9,168,83
82.5,165,77
90.2,169,99
100,174,111
112.9,181,125
130.9,190,149
127.4,188,124
128.2,189,129
132.6,191,137
132.2,191,132
143.6,196,155
162.3,213,181
182.6,233,203
