PM10,AQI,PM25
272.8,323,230
254.9,305,237
239.9,290,225
226.5,276,213
213.2,263,200
201.6,252,190
212.3,262,223
220.3,270,229
209.6,260,198
200.7,251,191
199.6,250,195
196.8,247,178
183.6,234,162
147.6,199,118
112.6,180,79
98.3,173,84
88.6,168,79
91.8,170,95
112.8,181,134
165.9,216,219
207.4,257,249
257.2,308,307
275.1,325,293
268,318,261
242,292,216
217.5,267,193
199.7,250,182
183.3,234,167
175.7,226,168
167.8,218,160
165,215,161
185.1,235,207
203.2,253,223
191,241,178
177.1,227,157
170.6,221,153
160.1,211,144
128.8,189,104
104.9,177,81
97.9,173,91
93.4,171,89
92.7,170,92
98.3,173,104
109.6,179,121
132.3,191,155
184.6,235,237
227.8,278,271
213.9,264,200
206.4,256,199
196.7,247,187
204.8,255,213
205.9,256,207
210.4,260,215
203.7,254,197
205.8,256,208
214.9,265,227
228.4,278,262
273.8,324,326
268.8,319,262
232.7,282,185
232.7,282,-999
192.7,243,171
162,212,141
147.6,199,135
138,194,129
143,196,148
165.7,216,188
218.5,268,271
272.3,323,326
302.2,352,332
374.6,417,447
451.3,468,528
491.7,494,532
492.3,495,493
491.2,494,490
398.1,432,305
318,368,238
274,324,230
249,299,224
255.5,306,262
261.2,312,267
255.1,306,249
224,274,193
209.4,259,195
193.1,243,177
174.5,225,156
161.2,212,148
144.5,197,128
129.2,189,114
131.1,190,133
144,197,157
165,215,186
181.5,232,198
192.5,243,209
201.2,251,211
217.5,267,232
233.2,283,249
252.6,303,272
288.3,338,324
329.7,379,371
346.8,396,364
329.9,380,313
326.5,376,323
331.8,382,338
336.4,386,343
327.1,377,315
277.8,328,212
215.5,265,162
163.2,214,111
123.6,186,84
96.7,172,70
83.3,165,70
74.6,161,66
78.7,163,83
93.3,171,108
132.1,191,171
203.5,254,275
268.2,319,333
279.6,330,291
291.8,342,304
278.4,329,265
263.2,314,248
205.6,256,148
169.3,220,133
146.6,198,124
125.8,187,105
125.4,187,125
153.7,204,182
190.8,241,228
205.9,256,221
183.4,234,161
134.6,192,86
102.8,175,71
81.3,164,60
69.1,158,57
59,153,49
57,152,55
58,152,59
66.9,157,76
102.4,175,138
168.2,219,234
186.6,237,205
218.8,269,251
231.4,281,244
277.7,328,324
283.4,334,289
247.7,297,212
196.8,247,146
166.4,217,136
156.7,207,147
161.8,212,167
163.4,214,165
187.7,238,212
208.8,259,230
203.9,254,199
160.9,211,118
114.4,181,68
91.6,170,69
75.8,161,60
64.9,156,54
62.4,155,60
69.2,158,76
74,161,79
95.5,172,117
145.2,197,195
182.6,233,220
215.3,265,248
248.1,298,281
327.1,377,406
361.1,408,395
335,385,309
273,323,211
219,269,165
169.5,220,120
142.7,196,116
133.3,191,124
126.1,187,119
127,188,128
133,191,139
131.4,190,130
114.2,181,97
97.5,173,81
85.7,167,74
70.8,159,56
63.9,155,57
67.4,157,71
88.7,168,110
111.8,180,135
141.9,196,172
172.9,223,204
219.5,269,266
249.2,299,279
258.1,309,267
269.6,320,281
227.8,278,186
201.9,252,176
195.9,246,190
196.5,247,197
196.2,246,196
203.9,254,212
207.1,257,212
186.9,237,160
181.7,232,175
148.2,199,117
120.5,185,93
110.7,180,101
102.8,175,95
100.9,174,99
102.4,175,104
106.7,177,111
127.3,188,148
159.6,210,192
198.8,249,238
243.4,293,288
282.7,333,322
296.8,347,311
284.9,335,273
281,331,277
286,336,291
302,352,318
240.5,290,179
214.2,264,188
226.8,277,235
231.8,282,238
213.6,264,191
178.5,229,146
149.7,200,121
128.8,189,108
116.9,183,105
124.9,187,133
132.4,191,140
123.6,186,115
122.8,186,122
135.9,193,149
168.4,219,201
177.8,228,190
223.1,273,267
215.5,265,208
211.7,262,208
233.4,283,255
214.7,265,196
198.8,249,183
188.9,239,179
183.9,234,179
156.9,207,130
158.9,209,161
162.9,213,167
166.4,217,170
169.6,220,173
181,231,193
179,229,177
155.8,206,121
138.6,194,115
131.4,190,121
110.3,179,94
102.1,175,94
99.5,174,97
99.5,174,-999
183.2,233,225
261.3,312,320
278.2,328,293
298.2,348,317
349.4,399,399
384,423,418
356.9,405,330
310.8,361,265
289.9,340,269
288.4,339,287
268.9,319,244
241.1,291,214
265,315,290
282.5,333,301
296.9,347,312
283.2,333,269
249.4,299,214
201.7,252,155
156.8,207,112
125.9,187,95
102.9,175,80
95.9,172,89
112.9,181,130
138.9,194,165
186.4,237,234
228.7,278,271
273.3,324,318
325.6,375,378
311.3,361,297
240.1,290,169
216.6,267,193
205.8,256,195
185.4,236,165
178.7,229,172
167.3,218,156
157.1,208,147
167,217,177
196,246,225
221,271,246
215.9,266,211
190.2,240,158
154.9,205,123
129.9,189,105
109.4,179,89
94.2,171,79
90.1,169,86
94,171,98
111,180,128
142,196,173
216,266,290
216,266,-999
216,266,-999
216,266,-999
216,266,465
-999,-999,294
272.6,323,259
275.1,325,-999
243.9,294,233
249.3,299,253
249.3,299,-999
251.8,302,253
251.8,302,-999
251.8,302,-999
251.8,302,149
147.1,198,137
154.3,205,160
173.5,224,192
173.2,223,-999
173.2,223,-999
-999,-999,149
192.5,243,218
316,366,411
360.4,408,400
353.5,403,347
296.5,347,241
266,316,236
251.4,302,237
249.7,299,248
244.8,294,240
238.4,288,232
252.2,303,266
238.3,288,223
207.8,258,178
168.3,219,129
134.6,192,101
110.2,179,86
97.1,172,84
99,173,101
103,176,107
100.9,174,99
123.4,186,146
144.7,197,166
177.8,228,211
241.9,292,306
243.4,293,245
231.2,281,219
208.1,258,185
183,233,158
161,211,139
134.5,192,108
117.7,183,101
117.8,183,118
148.4,199,179
148.4,199,-999
148.4,199,-999
148.4,199,-999
148.4,199,-999
-999,-999,93
84.1,166,78
96.6,172,111
119.6,184,140
152.8,203,181
218.4,268,281
245.5,295,272
270.4,321,295
290.7,341,311
238.3,288,186
231.1,281,224
231,281,231
216,266,201
196.5,247,177
173.7,224,151
171.3,222,169
176.1,226,181
191.5,242,207
224.7,275,258
232.3,282,240
209.6,260,185
186.9,237,155
190.2,240,195
170,220,145
157,207,142
149.6,200,141
147.5,199,145
160.4,211,176
196,246,239
262,312,324
293.5,344,325
346.2,396,399
396.6,431,447
421.8,448,447
408.9,440,396
446.5,464,484
458.8,473,471
368.9,413,279
274.4,325,180
235.2,285,196
221.6,271,208
233.2,283,245
250.6,301,268
230.7,280,211
216.8,267,203
185.3,235,154
158.1,209,131
140.5,195,123
131.7,190,123
123.3,186,115
138.1,194,153
145,197,152
165.5,216,186
177.7,228,190
231.3,281,285
275.2,325,319
282.6,333,290
261.3,312,240
268.6,319,276
290.3,340,312
302.2,352,314
314.1,364,326
309.5,359,305
290.9,341,268
271.5,322,244
261.4,312,225
253.4,304,236
230.2,280,202
184.1,234,147
170.5,221,157
150.2,200,130
141.1,195,132
129,189,117
112.9,181,97
108.9,179,105
124.4,187,140
145.7,198,167
201.8,252,258
225.9,276,250
240.4,290,255
267.2,318,294
320.1,370,373
344.6,394,369
350.8,401,357
371.4,415,392
358.7,406,346
340.9,391,323
356.4,405,372
324.1,374,272
310.3,360,286
319.8,370,335
264.6,315,206
216.3,266,171
206.6,257,197
180.8,231,155
161.3,212,142
149.6,200,138
127.7,188,106
123.8,186,120
135.4,192,147
149.6,200,164
198.3,248,247
265.6,316,333
335.8,386,406
374.9,417,414
388.5,426,402
377.7,419,367
351.4,402,325
367.2,412,383
361.1,408,355
348.1,398,335
328.5,378,309
336.9,387,341
357.3,405,395
394.5,430,465
371.3,415,326
312.1,362,246
288,338,261
302.1,352,318
279.4,330,254
209.7,260,142
172.8,223,136
144.9,197,117
152.4,203,160
189.2,239,226
220,270,251
237,287,254
297,347,357
300.5,351,304
344.7,394,389
362.3,409,380
348.2,398,334
315.1,365,282
289.5,340,264
270.8,321,252
269.8,320,259
269.9,320,261
300.2,350,355
307.6,358,321
258,308,199
194.9,245,133
157.9,208,121
139.4,194,121
118.6,184,98
100.8,174,83
91.8,170,83
81.9,165,72
83.9,166,86
93.9,171,104
119.9,184,146
184.4,235,249
257.7,308,331
223.3,273,189
246.7,296,270
211.8,262,177
205.9,256,200
198.9,249,192
193.5,244,188
202.2,252,211
228.6,278,255
216.8,267,205
219.6,269,223
237.9,288,259
235.5,285,242
200.2,250,151
175.9,226,145
147.7,199,125
123.8,186,100
108.9,179,94
96.9,172,85
89.9,169,83
96.9,172,104
110.9,180,125
123.4,186,136
163.7,214,204
173.8,224,184
161.4,212,149
154.2,205,147
159.1,210,164
178,228,197
197,247,216
209.5,259,222
191.7,242,174
179.7,230,164
166.2,217,143
155.8,206,138
140.4,195,125
126.1,187,114
118.9,184,112
112.8,181,107
112.8,181,-999
99.6,174,93
90.6,169,84
82.2,165,75
79,163,76
79.7,163,80
87.3,167,96
99.5,174,118
116.1,182,135
124.1,186,134
133.8,191,143
130.5,190,127
141.4,195,152
161.7,212,182
173.3,224,185
162.6,213,152
146.3,198,130
130.1,190,112
124.2,186,110
123.3,186,122
121.9,185,120
109.4,179,97
100.3,174,92
97.1,172,94
89,168,81
79.5,163,70
81.7,165,84
78.4,163,74
81.1,164,84
85.7,167,92
90.5,169,97
98.5,173,110
96.9,172,-999
-999,-999,111
108.1,178,111
108.5,178,109
109.7,179,112
111,180,113
116.3,182,126
115.5,182,116
118,183,126
122.6,186,138
124.7,187,131
124.6,187,124
116.8,183,96
101.2,175,82
89.5,169,77
80.2,164,72
71.7,159,64
75.8,161,80
74.4,161,73
89.7,169,105
102.3,175,115
110.6,179,119
112.9,181,116
132.1,191,151
149.5,200,167
156.3,207,163
155.1,206,154
139,194,123
128.5,189,118
119.2,184,110
113,181,99
94.5,171,80
86.2,167,78
86.6,167,87
93.8,171,101
97.9,173,102
98.4,173,99
98.1,173,98
95.1,171,91
92.3,170,87
92.6,170,-999
94.5,171,99
96.6,172,102
96.9,172,-999
-999,-999,118
119.7,184,131
136,193,150
