PM10,AQI,PM25
273,323,293
271.5,322,270
278.7,329,286
240.4,290,202
195.7,246,151
175.3,226,155
173.5,224,170
166.5,217,159
132.9,191,100
106.9,178,81
93.4,171,80
88.6,168,84
79.8,164,71
71.3,159,63
68.1,158,65
68.5,158,69
78.2,163,88
82.6,165,87
110.8,180,139
132.4,191,154
156.2,207,180
180.6,231,205
175.3,226,170
176.6,227,178
194.8,245,213
201.9,252,209
195.4,245,189
165.7,216,136
161.3,212,157
160.5,211,149
158.6,209,155
143.7,197,125
112,180,84
90.9,169,70
72.4,160,54
69.2,158,66
60.5,154,52
58.2,152,56
60.1,153,62
62,154,64
64.5,156,67
84.2,166,104
110.6,179,137
143.8,197,177
164.4,215,185
178.7,229,193
192.8,243,207
201.4,251,210
181.7,232,162
180.8,231,180
165.9,216,151
150.9,201,136
152.5,203,154
139.6,194,120
159.9,210,187
177.1,227,200
176.6,227,176
169.4,220,160
135,192,101
117.5,183,100
106.7,177,96
102.8,175,99
106.9,178,111
109.9,179,113
112.4,180,115
123.7,186,135
169.3,220,215
166.1,216,163
177,227,188
200.5,251,224
223.2,273,246
234.6,284,246
265.8,316,297
285.9,336,306
246.9,297,208
200.4,250,154
180.2,230,160
161.6,212,143
157.8,208,154
161.9,212,166
150.9,201,140
139.9,195,129
125.9,187,112
114.9,182,104
110.4,179,106
102.7,175,95
91.3,169,80
83.6,166,76
83.8,166,84
109.9,179,136
131.4,190,153
139.2,194,147
146.1,198,153
149.5,200,153
145.7,198,142
148.3,199,151
163.7,214,179
172.3,223,181
179.1,229,186
182.1,232,185
174,224,173
170,220,160
163.8,214,144
157.7,208,140
153.5,204,141
151.3,202,145
142.3,196,128
127.6,188,111
103.8,176,84
86.4,167,69
73.6,160,61
66.3,157,59
62.6,155,59
70.3,159,78
91.6,170,113
111.3,180,131
138.6,194,166
148.3,199,158
154.1,205,160
149,199,144
137.5,193,126
132.2,191,127
128.6,189,125
123.8,186,119
124.9,187,126
129,189,132
140.1,195,166
155.8,206,182
154.8,205,153
124.8,187,91
90.4,169,56
71.7,159,53
61.3,154,51
52.6,143,44
47.3,130,42
44.1,122,41
47,129,50
47,129,47
53.9,146,61
63.9,155,74
75.4,161,87
78.2,163,81
77.1,162,76
104,176,131
120.5,185,137
121.2,185,122
114.6,182,108
138.8,194,163
118.9,184,99
114.4,181,110
117.7,183,121
115.8,182,114
122.9,186,130
100.9,174,79
82.4,165,64
63.7,155,45
54.3,147,45
48.6,133,43
41.3,115,34
45.1,125,49
46,127,47
58.5,153,71
71.7,159,85
113.8,181,156
120.9,185,128
124.4,187,128
151.7,202,179
162.8,213,174
178.4,229,194
190.7,241,203
185.8,236,181
182.9,233,180
203,253,223
188.5,239,174
180.4,231,169
164,214,142
164.9,215,166
149.1,199,128
92.2,170,39
61.6,154,31
45.7,126,30
38.8,109,32
36.4,103,34
37.6,106,39
39.8,112,42
44.8,124,50
64.4,156,84
87.7,168,111
77.3,162,67
62.6,155,48
52.3,142,42
51.6,141,51
59.3,153,67
71.6,159,84
69.8,158,68
81.9,165,94
102.4,175,123
120.7,185,139
119.3,184,118
107.1,178,95
90.5,169,74
86.3,167,82
76.6,162,67
82.8,165,89
78.4,163,74
70.7,159,63
67.3,157,64
67.1,157,67
68,157,69
73.6,160,80
83.5,165,101
93.8,171,107
95.5,172,98
91.2,169,85
90.7,169,90
83.4,165,73
80.3,164,76
74.2,161,65
60.4,154,49
56.2,151,52
56.1,151,56
54.5,148,53
68.7,158,83
77.8,163,87
74.9,161,73
60.9,154,46
50.8,139,41
50.4,138,50
50.2,137,50
52.1,142,54
55.5,151,59
62.2,154,69
79.6,163,97
89.3,168,99
133.1,191,177
124,186,115
111,180,98
138.5,194,166
134.2,192,130
116.1,182,98
114,181,112
114,181,114
132,190,150
148.8,199,171
145.6,198,142
133.3,191,118
132,190,130
135.4,192,140
128,188,118
125.4,187,122
121.3,185,116
111.4,180,98
94.5,171,80
82.7,165,71
81.3,164,80
77.1,162,73
73.5,160,70
74.7,161,76
73.8,160,73
72.9,160,71
66.2,157,60
65.7,156,65
64.5,156,61
65.5,156,63
64.5,156,62
65.1,156,67
65.6,156,67
74.7,161,92
83.8,166,97
119.4,184,151
125.7,187,132
119.3,184,113
111.6,180,104
103.3,176,95
90.6,169,78
82.3,165,74
74.6,161,67
71.3,159,68
73.1,160,75
73.5,160,74
76.2,162,79
87.9,168,100
104,176,124
118.6,184,132
128.5,189,138
130.7,190,133
133.8,191,137
140.4,195,147
156.7,207,173
169.3,220,182
198.7,249,228
215.3,265,232
219.7,270,224
210.1,260,201
202,252,192
190.5,241,175
173.2,223,150
166.3,217,155
161.9,212,150
134,192,112
127.9,188,122
117.9,183,108
119.4,184,121
123.2,186,127
124,186,125
138.4,194,157
142.6,196,152
150.5,201,167
188.3,238,220
211.6,262,235
205.8,256,200
198.4,248,191
189.2,239,180
187.3,237,185
188.2,238,189
202.1,252,218
210.3,260,230
220.6,270,238
224.7,275,240
228,278,243
221.1,271,202
210.9,261,183
201.3,251,177
193,243,174
181.2,231,163
176.5,227,167
154.4,205,134
147,198,138
145.6,198,144
170,220,200
191.5,242,218
198.6,249,217
197.2,247,195
204.1,254,215
207.5,257,213
234.3,284,260
263.1,313,291
291.5,342,320
294.8,345,298
236.9,287,179
186.9,237,137
146.9,198,107
121.9,185,97
115.9,182,110
109.4,179,103
98.2,173,87
95,171,92
95.5,172,96
99.2,174,103
100,174,101
100,174,100
106.7,177,119
107.3,178,114
116.8,183,132
117.2,183,118
119.2,184,123
121.9,185,127
119.3,184,115
115.5,182,106
109.2,179,94
102.5,175,90
97.3,173,88
98.5,173,101
99.6,174,102
97.3,173,93
97,172,96
98.2,173,101
98,173,98
93.2,170,82
89.6,169,79
86.9,167,78
76.9,162,65
71.9,159,64
69.3,158,65
66.6,157,63
64.7,156,62
63.1,155,61
64.2,155,66
72.8,160,87
77.7,162,90
85.7,167,97
85.1,166,84
90.6,169,99
93.5,171,98
94.8,171,97
102.6,175,111
133.8,191,164
130.9,190,128
109.9,179,89
101.3,175,92
106.5,177,112
108.7,178,111
117.6,183,127
114.7,182,112
104.8,176,93
98.9,173,92
85.4,166,73
80.7,164,76
78.6,163,73
79.2,163,80
79.1,163,79
85.4,166,94
92.9,170,103
111.3,180,133
121.7,185,134
118.6,184,115
120.2,184,122
119.6,184,119
122.5,186,126
131.5,190,141
131.2,190,132
128,188,124
120.1,184,105
120.1,184,117
117.5,183,109
114.8,182,108
112.9,181,108
113.4,181,115
110.7,180,104
110.5,179,110
110.5,179,111
109.7,179,107
98.5,173,80
88.4,168,73
85.2,166,80
91.9,170,103
98.5,173,110
109.4,179,124
117.8,183,128
120.4,185,124
123.7,186,128
129.2,189,135
119.4,184,108
114.2,181,108
105.8,177,96
103.5,176,98
107.3,178,108
107.8,178,109
122.6,186,150
121.6,185,120
124.6,187,130
127.6,188,133
127.7,188,128
127.8,188,128
126.8,188,125
125.1,187,122
120.6,185,112
114.9,182,102
108.5,178,98
108.7,178,109
116.3,182,132
121.9,185,136
123.6,186,128
130.7,190,144
133.4,191,139
132.6,191,131
131.8,190,130
127.7,188,119
125.9,187,122
126,187,126
126.7,188,126
129.1,189,135
140,195,167
144.1,197,154
148.5,199,159
165.5,216,189
173.5,224,187
170.8,221,166
162,212,147
149.3,199,126
131.3,190,110
122.4,186,110
120.5,185,118
131.1,190,146
161.6,212,199
192.7,243,220
239.9,290,287
267.4,318,295
304.7,355,342
342.4,392,380
352.7,402,363
352.3,402,352
360.7,408,369
292.3,342,224
244.6,294,197
225.1,275,201
207.9,258,192
205.9,256,204
213.3,263,221
215.6,266,218
246.4,296,278
249.1,299,253
208.4,258,167
177.1,227,146
165.4,216,150
165.7,216,166
174.8,225,185
183,233,192
202.4,252,224
227.9,278,256
250.2,300,275
269.6,320,288
279.3,330,289
263.8,314,248
247,297,230
223.2,273,197
209.1,259,185
201.9,252,182
193.3,243,180
191.2,241,188
193,243,196
202.4,252,218
201.3,251,200
192.3,242,178
191.1,241,185
196.3,246,212
215.6,266,257
218.9,269,226
223.4,273,233
223.4,273,223
233.1,283,254
243.9,294,264
265.4,316,293
290.5,341,318
313.2,363,336
320.2,370,331
321.4,371,334
317.7,368,315
310.8,361,297
288,338,243
232.1,282,179
197.7,248,168
177.3,228,157
170.1,220,163
174.5,225,179
173.7,224,173
167.8,218,162
184.9,235,202
193.4,244,202
204.5,255,218
209.3,259,228
210.4,260,219
217,267,230
223.7,274,235
230.4,280,243
247.5,297,269
276.4,327,305
297,347,317
303.9,354,329
313.3,363,328
317.5,367,332
318,368,319
320.3,370,324
327.4,377,342
326.2,376,324
319.3,369,303
302.2,352,253
285.2,335,246
274.5,325,248
270.1,320,260
282.3,333,314
295.7,346,330
301.9,352,318
298.4,348,290
238.8,289,174
185.3,235,133
156.6,207,128
147.3,198,138
138.6,194,130
137.8,193,137
142.8,196,148
170.4,221,198
208.7,259,247
244.8,294,281
259.4,310,274
266.7,317,274
266.7,317,297
279.6,330,286
242.6,292,215
210.8,261,183
194.4,245,179
187.4,238,179
186.1,236,175
185.2,235,184
188.2,238,193
160.8,211,134
138.8,194,117
129.4,189,120
130.2,190,131
135.3,192,140
136.8,193,138
144.3,197,156
149.3,199,157
154.3,205,162
164.8,215,181
171.5,222,182
202.1,252,230
241.8,291,281
261.4,312,281
339.2,389,417
309.1,359,279
262.5,313,216
224.7,275,187
200.4,250,176
191.7,242,183
184.3,234,177
180.1,230,176
184.5,235,189
183.7,234,183
175.8,226,168
181.9,232,188
188.5,239,199
188.4,239,197
190,240,203
189.6,240,188
191.3,241,197
212,262,249
215,265,221
190.4,241,149
174.9,225,152
164.9,215,150
133.1,191,107
119,184,105
114.5,181,110
114.2,181,114
104.1,176,94
93.5,171,83
98.2,173,103
99.6,174,101
89,168,78
83,165,77
80.6,164,78
93.3,171,112
110.1,179,132
117.5,183,128
142,196,163
161,211,180
173,223,185
178,228,183
175.5,226,173
183.2,233,191
204.1,254,225
237.6,287,271
246.3,296,255
241.6,291,237
230.3,280,219
235.2,285,242
242,292,255
241.4,291,240
239.9,290,237
237.1,287,232
233.6,283,224
231.8,282,217
228,278,215
227.3,277,220
224.5,274,215
224.8,275,228
224.6,274,223
223.7,274,222
219.6,269,204
206.7,257,177
191.3,241,162
172.9,223,147
161.5,212,144
159.7,210,157
177.8,228,209
191.1,241,214
212.2,262,241
210.9,261,209
214.9,265,221
210.1,260,203
192.3,242,166
178.9,229,159
171.2,222,160
162.7,213,150
157.5,208,148
155.8,206,153
160.4,211,168
169.9,220,185
177.4,228,195
185.2,235,201
177.6,228,166
166.8,217,141
135.1,192,106
116,182,99
104.9,177,94
96.9,172,89
91.4,170,86
87.2,167,83
99.1,174,111
119,184,139
155,205,191
179,229,203
195,245,211
185.5,236,176
171.7,222,158
164.3,215,157
165.2,216,166
174.1,224,183
181,231,188
187.8,238,196
194.1,244,212
209.7,260,239
228.9,279,255
245.3,295,266
252.6,303,263
243.3,293,230
226,276,201
215.4,265,196
198.2,248,168
153.2,204,118
125.1,187,97
115.5,182,106
113.7,181,112
160.3,211,207
183.6,234,207
183.6,234,192
239.9,290,292
238.2,288,213
217.7,268,202
203.5,254,191
195.5,246,188
197.1,247,191
201.9,252,210
212.9,263,232
222,272,238
222.7,273,224
218.8,269,212
217.8,268,216
209.9,260,189
162,212,120
119.2,184,77
96.1,172,73
89.5,169,83
111.7,180,134
188.8,239,266
227.4,277,266
227.4,277,256
232.1,280,277
279.9,330,288
