PM10,AQI,PM25
79.1,163,91
91,169,103
97.5,173,104
117.7,183,138
107.8,178,98
108.4,178,109
114.7,182,121
118.3,183,122
126.6,188,135
134.3,192,142
123.1,186,112
108.7,178,86
100.1,174,87
78.3,163,61
67.1,157,56
70,158,73
73.5,160,77
76.2,162,79
76.6,162,77
83.3,165,90
92.1,170,101
102.5,175,113
113.2,181,124
132.6,191,152
143.3,196,154
136.1,193,129
135,192,134
125,187,115
119.5,184,114
130.2,190,141
133,191,138
134.3,192,138
141.6,195,160
143.8,197,149
123,186,91
110.9,180,95
85.6,167,64
69.3,158,53
58.1,152,47
59,153,60
52.5,143,46
46.2,127,40
53.1,144,60
71,159,89
85,166,99
106.5,177,128
102.7,175,99
111.8,180,121
114.4,181,117
115.2,182,116
106.1,177,97
98.5,173,91
103.7,176,109
96.9,172,90
96.2,172,88
96.8,172,98
97.5,173,99
91.3,169,80
85.2,166,76
89.3,168,96
87.7,168,85
85.5,166,80
84.1,166,81
80.6,164,74
75.5,161,66
74.2,161,72
74.1,161,74
79.7,163,91
87.2,167,101
96,172,108
109.2,179,122
113.2,181,118
115.4,182,118
121.2,185,127
109.1,179,96
107.6,178,106
102.4,175,95
100.7,174,98
102.9,175,102
101.3,175,95
100.7,174,99
104.3,176,115
101.4,175,94
88.2,168,72
79.7,163,70
76.4,162,69
73.8,160,70
72.2,160,70
69.3,158,66
68.7,158,68
62.6,155,57
66.7,157,71
75.3,161,84
96.1,172,117
111.1,180,126
117,183,123
120,184,123
137.5,193,155
130.2,190,123
126.1,187,122
127,188,128
122,185,117
109,179,96
102.8,175,94
98.2,173,90
89,168,81
80.6,164,73
71.8,159,63
64.9,156,58
56.4,151,48
50.7,138,45
45.8,126,41
51.4,140,57
50.1,137,49
52,142,54
58.5,153,65
62.1,154,66
65.5,156,71
90.3,169,114
87.1,167,84
78,163,69
68.5,158,59
65.7,156,63
63.3,155,61
62.6,155,62
60.8,154,59
62.9,155,65
66.8,157,71
69.8,158,73
70.3,159,71
66.1,156,60
62.3,155,53
58,152,50
50.7,138,43
45.3,125,40
48.3,133,52
51.3,140,55
54.8,149,59
58.9,153,64
67.1,157,76
67.1,157,67
68.9,158,71
72.2,160,76
79.3,163,86
90.1,169,101
98.5,173,107
91.2,169,84
83.3,165,75
79,163,73
75.8,161,70
74,161,70
76.2,162,80
81.5,164,91
87.6,168,99
93.3,171,104
97,172,104
80.7,164,58
74.9,161,67
65,156,55
60.3,153,55
59.2,153,58
61,154,63
72.7,160,86
75.2,161,78
72.7,160,70
71.4,159,70
72.6,160,74
78.1,163,88
77,162,75
75.1,161,72
73.6,160,71
72.8,160,71
72.8,160,72
74,161,76
73.2,160,71
74.6,161,80
75.2,161,77
64.9,156,50
51.1,139,39
45,124,39
38.5,108,32
34.7,99,31
35.8,102,37
36.4,103,37
37.2,105,38
41.1,115,45
43.5,121,46
48.7,134,54
57.3,152,66
61.6,154,66
61.8,154,62
66.9,157,72
63.4,155,60
63.2,155,63
67,157,71
71.5,159,76
83.2,165,95
75.1,161,67
72.4,160,69
76.4,162,83
78.1,163,81
78.8,163,80
74.8,161,68
70.1,159,62
65.7,156,59
55.8,151,48
52.4,143,49
50.2,137,48
46.1,127,42
43,119,40
40.5,113,38
38.7,109,37
43.8,121,49
49.7,136,57
56.7,152,66
66.1,156,74
77.5,162,89
73.7,160,70
67.3,157,61
67.6,157,68
63.3,155,59
62.1,154,61
64.5,156,67
67.9,157,72
65.4,156,62
63.3,155,59
60.4,154,56
58.2,152,55
58.9,153,56
54.4,148,48
52.6,143,49
53.7,146,56
59.8,153,72
63.5,155,71
59.6,153,52
61.1,154,64
62.4,155,65
68.1,158,77
77.2,162,87
94.8,171,111
89.4,169,84
87.7,168,86
83.8,166,80
79.4,163,75
76.2,162,73
74.1,161,72
74.1,161,73
74.5,161,75
77.5,162,82
76.6,162,75
73.6,160,69
64.9,156,52
54.3,147,45
51.4,140,47
47.8,131,44
48.3,133,49
52.3,142,57
57.2,152,63
64.5,156,73
74.6,161,85
86.5,167,98
95.8,172,105
104.9,177,114
116.4,182,128
125.2,187,134
141.1,195,157
139,194,137
126.5,188,114
114.7,182,103
104.8,176,95
99.3,174,91
105,177,111
101.6,175,97
100.1,174,98
84.1,166,69
70.5,159,57
64.7,156,59
57.3,152,50
61.1,154,65
55.5,151,50
53.7,146,52
50.8,139,48
49.4,135,48
54.7,148,60
62.3,155,70
59.9,153,62
58.6,153,56
55.9,151,50
53.4,145,48
53.2,145,53
55.3,150,60
61,154,72
78.6,163,94
93,170,107
102.5,175,112
107.7,178,113
106.8,177,106
93.9,171,81
76.4,162,59
57.2,152,38
45.6,126,34
37.3,105,29
31.6,92,26
30.8,90,30
30.4,89,30
28.6,86,27
29.3,87,30
28.6,86,28
27.3,83,26
28.6,86,30
29.3,87,31
29.8,88,32
30.4,89,33
31.8,92,35
30.6,90,27
30.2,89,29
31.4,92,35
31.3,91,31
37.8,107,46
37,105,36
49.7,136,62
46.3,128,43
40.6,114,35
35.8,102,31
32.9,95,30
37.4,106,42
40.2,113,43
37.1,105,34
37,105,37
35,99,33
32,93,29
30.5,90,29
25.2,79,20
24.1,76,23
24.5,77,25
28.7,86,33
24.8,78,21
34.9,99,45
38.4,108,42
40.7,114,43
42.8,119,45
38.9,109,35
34.4,98,30
39.7,111,45
41.3,115,43
40.6,114,40
37.3,105,34
32.1,93,27
26.5,81,21
21.7,71,17
19.3,66,17
19.6,67,20
19.8,67,20
22.9,74,26
25.4,79,28
24.2,76,23
25.1,78,26
25,78,25
24.1,76,23
24,76,24
25.2,79,27
33.2,95,41
36.6,104,40
39.8,112,43
45.4,125,51
47.2,130,49
57.1,152,67
68.5,158,80
63.7,155,59
52.8,144,42
41.4,116,30
32.7,94,24
25.3,79,18
20.6,69,16
18.8,65,17
21.9,72,25
25.4,79,29
20.7,69,16
19.3,66,18
20.6,69,22
23.8,76,27
26.1,80,29
31.7,92,37
40.8,114,50
52.4,143,64
58.7,153,65
54.8,149,51
48.4,133,42
46.7,129,45
25.3,79,4
34.1,97,43
47,129,60
51.5,140,56
45.2,125,39
36.6,104,28
32.8,95,29
27.9,84,23
25.4,79,23
32.2,93,39
16.6,60,1
8.7,36,1
6.8,28,5
4.4,18,2
2.7,11,1
2.3,10,2
1.6,7,1
2.3,10,3
2.1,9,2
1.5,6,1
1.7,7,2
2.3,10,3
2.6,11,3
2.3,10,2
1.6,7,1
1.8,8,2
1.9,8,2
1.4,6,1
0.7,3,2
1.3,5,2
1.1,5,1
109.1,178,121
62.4,154,53
