"","dates","Date","Year","Month","Day","Hour","AQI"
"1",2016-01-01,"01-01-16 1:00",2016,1,1,1,117
"2",2016-01-01,"01-01-16 2:00",2016,1,1,2,113
"3",2016-01-01,"01-01-16 3:00",2016,1,1,3,111
"4",2016-01-01,"01-01-16 4:00",2016,1,1,4,109
"5",2016-01-01,"01-01-16 5:00",2016,1,1,5,102
"6",2016-01-01,"01-01-16 6:00",2016,1,1,6,107
"7",2016-01-01,"01-01-16 7:00",2016,1,1,7,151
"8",2016-01-01,"01-01-16 8:00",2016,1,1,8,158
"9",2016-01-01,"01-01-16 9:00",2016,1,1,9,137
"10",2016-01-01,"01-01-16 10:00",2016,1,1,10,112
"11",2016-01-01,"01-01-16 11:00",2016,1,1,11,110
"12",2016-01-01,"01-01-16 12:00",2016,1,1,12,103
"13",2016-01-01,"01-01-16 13:00",2016,1,1,13,103
"14",2016-01-01,"01-01-16 14:00",2016,1,1,14,99
"15",2016-01-01,"01-01-16 15:00",2016,1,1,15,101
"16",2016-01-01,"01-01-16 16:00",2016,1,1,16,103
"17",2016-01-01,"01-01-16 17:00",2016,1,1,17,112
"18",2016-01-01,"01-01-16 18:00",2016,1,1,18,123
"19",2016-01-01,"01-01-16 19:00",2016,1,1,19,142
"20",2016-01-01,"01-01-16 20:00",2016,1,1,20,148
"21",2016-01-01,"01-01-16 21:00",2016,1,1,21,147
"22",2016-01-01,"01-01-16 22:00",2016,1,1,22,134
"23",2016-01-01,"01-01-16 23:00",2016,1,1,23,130
"24",2016-01-02,"02-01-16 0:00",2016,1,2,0,125
"25",2016-01-02,"02-01-16 1:00",2016,1,2,1,121
"26",2016-01-02,"02-01-16 2:00",2016,1,2,2,115
"27",2016-01-02,"02-01-16 3:00",2016,1,2,3,121
"28",2016-01-02,"02-01-16 4:00",2016,1,2,4,142
"29",2016-01-02,"02-01-16 5:00",2016,1,2,5,154
"30",2016-01-02,"02-01-16 6:00",2016,1,2,6,159
"31",2016-01-02,"02-01-16 7:00",2016,1,2,7,162
"32",2016-01-02,"02-01-16 8:00",2016,1,2,8,164
"33",2016-01-02,"02-01-16 9:00",2016,1,2,9,163
"34",2016-01-02,"02-01-16 10:00",2016,1,2,10,166
"35",2016-01-02,"02-01-16 11:00",2016,1,2,11,164
"36",2016-01-02,"02-01-16 12:00",2016,1,2,12,156
"37",2016-01-02,"02-01-16 13:00",2016,1,2,13,152
"38",2016-01-02,"02-01-16 14:00",2016,1,2,14,144
"39",2016-01-02,"02-01-16 15:00",2016,1,2,15,135
"40",2016-01-02,"02-01-16 16:00",2016,1,2,16,130
"41",2016-01-02,"02-01-16 17:00",2016,1,2,17,139
"42",2016-01-02,"02-01-16 18:00",2016,1,2,18,149
"43",2016-01-02,"02-01-16 19:00",2016,1,2,19,152
"44",2016-01-02,"02-01-16 20:00",2016,1,2,20,153
"45",2016-01-02,"02-01-16 21:00",2016,1,2,21,153
"46",2016-01-02,"02-01-16 22:00",2016,1,2,22,151
"47",2016-01-02,"02-01-16 23:00",2016,1,2,23,152
"48",2016-01-03,"03-01-16 0:00",2016,1,3,0,163
"49",2016-01-03,"03-01-16 1:00",2016,1,3,1,165
"50",2016-01-03,"03-01-16 2:00",2016,1,3,2,167
"51",2016-01-03,"03-01-16 3:00",2016,1,3,3,164
"52",2016-01-03,"03-01-16 4:00",2016,1,3,4,167
"53",2016-01-03,"03-01-16 5:00",2016,1,3,5,165
"54",2016-01-03,"03-01-16 6:00",2016,1,3,6,165
"55",2016-01-03,"03-01-16 7:00",2016,1,3,7,168
"56",2016-01-03,"03-01-16 8:00",2016,1,3,8,169
"57",2016-01-03,"03-01-16 9:00",2016,1,3,9,169
"58",2016-01-03,"03-01-16 10:00",2016,1,3,10,169
"59",2016-01-03,"03-01-16 11:00",2016,1,3,11,156
"60",2016-01-03,"03-01-16 12:00",2016,1,3,12,138
"61",2016-01-03,"03-01-16 13:00",2016,1,3,13,117
"62",2016-01-03,"03-01-16 14:00",2016,1,3,14,107
"63",2016-01-03,"03-01-16 15:00",2016,1,3,15,106
"64",2016-01-03,"03-01-16 16:00",2016,1,3,16,113
"65",2016-01-03,"03-01-16 17:00",2016,1,3,17,121
"66",2016-01-03,"03-01-16 18:00",2016,1,3,18,126
"67",2016-01-03,"03-01-16 19:00",2016,1,3,19,125
"68",2016-01-03,"03-01-16 20:00",2016,1,3,20,117
"69",2016-01-03,"03-01-16 21:00",2016,1,3,21,113
"70",2016-01-03,"03-01-16 22:00",2016,1,3,22,114
"71",2016-01-03,"03-01-16 23:00",2016,1,3,23,110
"72",2016-01-04,"04-01-16 0:00",2016,1,4,0,97
"73",2016-01-04,"04-01-16 1:00",2016,1,4,1,95
"74",2016-01-04,"04-01-16 2:00",2016,1,4,2,93
"75",2016-01-04,"04-01-16 3:00",2016,1,4,3,89
"76",2016-01-04,"04-01-16 4:00",2016,1,4,4,86
"77",2016-01-04,"04-01-16 5:00",2016,1,4,5,105
"78",2016-01-04,"04-01-16 6:00",2016,1,4,6,152
"79",2016-01-04,"04-01-16 7:00",2016,1,4,7,158
"80",2016-01-04,"04-01-16 8:00",2016,1,4,8,166
"81",2016-01-04,"04-01-16 9:00",2016,1,4,9,169
"82",2016-01-04,"04-01-16 10:00",2016,1,4,10,164
"83",2016-01-04,"04-01-16 11:00",2016,1,4,11,154
"84",2016-01-04,"04-01-16 12:00",2016,1,4,12,129
"85",2016-01-04,"04-01-16 13:00",2016,1,4,13,107
"86",2016-01-04,"04-01-16 14:00",2016,1,4,14,99
"87",2016-01-04,"04-01-16 15:00",2016,1,4,15,94
"88",2016-01-04,"04-01-16 16:00",2016,1,4,16,96
"89",2016-01-04,"04-01-16 17:00",2016,1,4,17,95
"90",2016-01-04,"04-01-16 18:00",2016,1,4,18,100
"91",2016-01-04,"04-01-16 19:00",2016,1,4,19,97
"92",2016-01-04,"04-01-16 20:00",2016,1,4,20,102
"93",2016-01-04,"04-01-16 21:00",2016,1,4,21,112
"94",2016-01-04,"04-01-16 22:00",2016,1,4,22,110
"95",2016-01-04,"04-01-16 23:00",2016,1,4,23,104
"96",2016-01-05,"05-01-16 0:00",2016,1,5,0,100
"97",2016-01-05,"05-01-16 1:00",2016,1,5,1,101
