location,city,country,utc,local,parameter,value,unit,latitude,longitude
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T13:30:00.000Z,2020-05-30T19:00:00+05:30,co,270,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T13:30:00.000Z,2020-05-30T19:00:00+05:30,pm10,37.29,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T13:30:00.000Z,2020-05-30T19:00:00+05:30,pm25,21.64,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T13:30:00.000Z,2020-05-30T19:00:00+05:30,o3,0.1,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T13:30:00.000Z,2020-05-30T19:00:00+05:30,no2,16.2,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T13:30:00.000Z,2020-05-30T19:00:00+05:30,so2,1.8,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T02:15:00.000Z,2020-05-30T07:45:00+05:30,pm25,20.61,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T02:15:00.000Z,2020-05-30T07:45:00+05:30,o3,0,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T02:15:00.000Z,2020-05-30T07:45:00+05:30,co,520,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T02:15:00.000Z,2020-05-30T07:45:00+05:30,so2,1.57,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T02:15:00.000Z,2020-05-30T07:45:00+05:30,no2,16.18,µg/m³,11.875,75.3732
"Thavakkara, Kannur - Kerala PCB",Kannur,IN,2020-05-30T02:15:00.000Z,2020-05-30T07:45:00+05:30,pm10,27.25,µg/m³,11.875,75.3732
