location,city,country,utc,local,parameter,value,unit,latitude,longitude
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,co,1380,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,so2,14.74,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,no2,20.29,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,pm10,43,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,pm25,38,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,o3,1.05,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,o3,1.24,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,no2,26.14,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,pm10,72.9,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,pm25,19.71,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,co,1610,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,so2,11.34,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,o3,1.33,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,co,1610,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,so2,12.13,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,no2,26.75,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,pm10,72,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,pm25,19,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,o3,1.79,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,co,1540,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,so2,12.29,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,no2,26.31,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,pm25,19,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,pm10,72,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,o3,1.15,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,so2,11.93,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,no2,26.05,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,pm10,70.22,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,pm25,15.47,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,co,1520,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,pm25,16.76,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,no2,24.71,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,so2,11.04,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,co,1420,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,o3,1.42,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,pm10,53.15,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T04:15:00.000Z,2020-05-29T09:45:00+05:30,so2,11.45,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T04:15:00.000Z,2020-05-29T09:45:00+05:30,o3,1.43,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T04:15:00.000Z,2020-05-29T09:45:00+05:30,co,1370,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T04:15:00.000Z,2020-05-29T09:45:00+05:30,no2,22.14,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T04:15:00.000Z,2020-05-29T09:45:00+05:30,pm10,31.11,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T04:15:00.000Z,2020-05-29T09:45:00+05:30,pm25,16.11,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T01:45:00.000Z,2020-05-29T07:15:00+05:30,pm10,31,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T01:45:00.000Z,2020-05-29T07:15:00+05:30,pm25,26,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T01:45:00.000Z,2020-05-29T07:15:00+05:30,o3,1.33,µg/m³,9.969447,76.321186
"Vyttila, Kochi - Kerala PCB",Kochi,IN,2020-05-29T01:45:00.000Z,2020-05-29T07:15:00+05:30,co,1300,µg/m³,9.969447,76.321186
