location,city,country,utc,local,parameter,value,unit,latitude,longitude
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,pm25,36.95,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,o3,5.24,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,co,320,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,so2,1.85,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,no2,15.92,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,pm10,56.95,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,o3,19.34,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,so2,3.19,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,no2,7.57,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,pm10,73.82,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,pm25,39.69,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,co,420,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,co,550,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,pm25,49.06,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,pm10,76.66,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,no2,8.21,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,so2,1.58,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,o3,17.6,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,co,840,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,so2,1.41,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,no2,11.74,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,o3,13.68,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,pm25,49.06,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,pm10,76.66,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,so2,1.83,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,o3,11.35,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,pm10,68.29,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,pm25,46.11,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,co,810,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,no2,19.86,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,co,610,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,pm10,67.28,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,pm25,41.77,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,no2,21.57,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,so2,2,µg/m³,8.8787,76.6073
"Polayathode, Kollam - Kerala PCB",Kollam,IN,2020-05-29T07:15:00.000Z,2020-05-29T12:45:00+05:30,o3,9.06,µg/m³,8.8787,76.6073
