location,city,country,utc,local,parameter,value,unit,latitude,longitude
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,o3,1.78,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,co,370,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,pm10,36,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,no2,6.59,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,pm25,29,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-30T02:30:00.000Z,2020-05-30T08:00:00+05:30,so2,3.09,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,o3,8.66,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,pm25,18.88,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,so2,3.19,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,co,1170,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,no2,16.29,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T09:15:00.000Z,2020-05-29T14:45:00+05:30,pm10,39.95,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,co,1280,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,pm25,19,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,pm10,41,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,o3,8.72,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,no2,17.68,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:45:00.000Z,2020-05-29T14:15:00+05:30,so2,3.35,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,pm25,19,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,o3,7.64,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,co,1290,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,so2,3.34,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,no2,18.76,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:30:00.000Z,2020-05-29T14:00:00+05:30,pm10,41,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,pm10,54.6,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,o3,9.39,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,co,1230,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,so2,3.44,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,no2,19.74,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T08:15:00.000Z,2020-05-29T13:45:00+05:30,pm25,32.25,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T07:45:00.000Z,2020-05-29T13:15:00+05:30,pm25,34,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T07:45:00.000Z,2020-05-29T13:15:00+05:30,co,1130,µg/m³,11.249077,75.784371
"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,2020-05-29T07:45:00.000Z,2020-05-29T13:15:00+05:30,pm10,57,µg/m³,11.249077,75.784371
