co,no2,o3,pm10,pm25,so2
580,12.22,3.93,59,31.88,4.734999999999999
610,15.31,3.54,59,31,4.734999999999999
740,14.99,3.02,59,31,4.734999999999999
820,14.38,3.28,59,31,4.734999999999999
1023.75,14.3,4.04,65,34,4.734999999999999
1023.75,11.13,4.33,65,34,4.734999999999999
1023.75,16.93,5.09,70.82,37.09,4.734999999999999
1023.75,16.93,4.47,81,52.5,4.734999999999999
1023.75,16.93,6.09,81,52.5,4.734999999999999
1023.75,16.93,7,81,52.5,4.734999999999999
910,16.93,10.13,81,52.5,4.734999999999999
760,16.93,14.93,81,52.5,4.734999999999999
480,16.93,15.73,80,47,4.734999999999999
500,16.93,17.33,80,47,4.734999999999999
460,16.93,16.34,78.95,46.52,4.734999999999999
450,16.93,18.42,73,43,4.734999999999999
200,16.93,21.88075,70.9,43,4.734999999999999
190,16.93,21.29,59,43,4.734999999999999
150,16.93,21.87,59,43,4.734999999999999
140,16.93,21.88075,59.74,42.28,4.734999999999999
60,16.93,15.97,64,37,4.734999999999999
80,16.93,19.82,64,37,4.734999999999999
50,16.93,20.27,64,37,4.734999999999999
160,16.93,21.88075,64.29,36.88,4.734999999999999
330,16.93,21.88075,66,36,4.734999999999999
390,16.93,20.05,66,36,4.734999999999999
360,16.93,19,66,36,4.734999999999999
370,16.93,16.64,67.19,35.28,4.734999999999999
380,16.93,21.88075,74,30,4.734999999999999
390,16.93,21.86,74,30,4.734999999999999
330,16.93,21.88075,63,32,3.81
400,16.93,18.79,63,32,3.83
400,16.93,19.11,63,32,3.8
400,16.93,17.92,63,32,3.78
440,16.93,16.9,63,32,3.79
400,16.93,16.52,62.25,32.47,3.79
300,16.93,16.29,58,36,3.76
150,16.93,14.42,57.4,35.64,3.6
240,16.93,12.89,54,33,3.67
240,16.93,12.14,54,33,3.65
220,16.93,12.29,49,36,3.78
290,16.93,12.16,49,36,3.81
250,16.93,11.46,48.55,35.16,3.84
240,16.93,10.25,46,29,3.81
180,16.93,13.54,46,29,3.82
130,16.93,14.5,45.4,28.4,3.84
50,16.93,15.57,42,24,3.83
150,16.93,14.2,42,24,3.87
290,15.77,12.75,40.95,23.28,4.08
210,13.75,12.97,35,18,4.11
130,12.35,13.09,35,18,3.92
80,11.83,12.81,34.56,17.76,3.83
140,11.98,11.12,32,16,3.83
130,12.44,9.44,32,16,3.84
130,13.76,9.11,32,16,3.81
140,13.36,9.26,32.44,15.65,3.87
160,11.66,10.54,35,13,3.83
90,9.25,11.03,35.59,14.19,3.83
110,9.94,9.14,39,23,3.82
120,11.51,8.05,39,23,3.83
10,11.76,8.4,39,23,3.82
50,12.16,8.88,39.74,23.47,3.73
50,14.38,7.13,44,27,3.6
50,13.76,6.94,44,23.86,3.69
50,15.51,5.63,44,0,3.8
10,15.98,4.84,44,0,3.8
150,16.26,3.98,45.19,2.9,3.88
280,16.93,4.33,52,25,3.99
640,16.93,2.54,72,35,3.76
990,16.93,2.41,72,35,3.9
1023.75,16.33,2.34,72,35,3.97
1023.75,16.93,2.68,74.39,34.52,3.99
1023.75,11.22,2.42,81,31,4.08
1023.75,16.93,2.87,81,31,3.99
1023.75,16.93,2.99,81,31,3.97
1023.75,11.15,3.68,81,52.5,3.91
1023.75,10.11,4.18,81,52.5,3.86
1023.75,16.93,5.43,81,52.5,3.88
1023.75,16.93,5.09,81,52.5,3.86
1023.75,13.44,6.21,81,48,3.87
1023.75,16.93,6.38,81,48,3.86
1023.75,16.93,9.98,72,37,4.734999999999999
1023.75,16.93,9.51,72,37,4.734999999999999
1023.75,16.93,10.29,81,52.5,4.734999999999999
1023.75,16.93,12.43,81,52.5,4.734999999999999
1020,16.93,8.92,81,52.5,4.734999999999999
930,16.93,8.56,81,52.5,4.734999999999999
980,16.93,8.87,79.5,52.5,4.734999999999999
1010,16.93,8.03,71,52.5,4.734999999999999
950,16.93,8.65,71,52.5,4.734999999999999
860,16.93,10.92,71.74,52.5,4.734999999999999
1000,16.93,9.39,64.5,52.5,4.734999999999999
1000,16.93,9.74,56,52.5,4.734999999999999
1023.75,16.93,7.27,56,52.5,3.88
980,16.93,6.74,55.55,52.5,3.84
1023.75,16.93,8.07,53,52.5,3.84
1020,16.93,8.25,63,23,3.8
870,16.93,8.38,63,23,3.8
440,16.93,10.91,55,21,3.8
490,16.93,10.04,54.25,20.76,3.72
510,16.93,8.7,50,19,3.63
440,16.93,8.65,50,19,3.6
450,11.36,9.82,55,26,3.82
430,16.93,9.97,55,26,3.8
230,16.93,13.37,51,26,3.82
230,12.77,8.46,49,26,4.05
120,9.1,10.43,55,15,3.81
10,12.63,5.9,57,34,3.62
1023.75,16.93,12.67,76,45,4.01
1023.75,16.93,14.57,77.34,44.53,3.99
840,16.93,21.04,81,36,3.81
980,16.93,15.87,81,36,3.84
1023.75,16.93,15.39,81,36,3.86
900,16.93,18.72,81,36.34,3.92
810,16.93,19.25,81,39,3.94
770,16.93,17.79,81,39,3.97
610,16.93,19.24,81,38.76,3.98
460,16.93,19.25,62,37,3.97
530,16.93,11.79,62,37,3.96
430,16.93,14.16,60.8,35.37,4.07
460,16.93,11.87,54,23,4.26
550,16.93,12.1,54,23,4.29
770,16.93,11.07,54,23,4.39
950,16.93,9.65,53.7,22.88,4.46
970,16.93,11.53,52,22,4.48
1020,16.93,11,52,22,4.35
1023.75,16.93,8.41,52,22.46,4.27
1023.75,16.93,10.07,52,26,4.27
1023.75,16.93,6.97,52,26,4.22
1023.75,16.93,8.01,52.59,25.06,4.21
1023.75,16.93,7.16,56,18,4.19
1023.75,16.93,7.74,56,18,4.19
1023.75,16.93,9.14,56.59,19.16,4.22
1023.75,16.93,9.53,60,28,4.22
1023.75,16.93,10.81,60,28,4.23
1023.75,16.93,9.4,60,28,4.21
660,16.93,11.37,55,26,4.02
590,16.93,12.12,55,26,4.02
570,16.93,14.89,55,26,3.99
460,16.93,14.81,57.09,24.83,4.14
450,16.93,14.82,69,16,4.11
430,16.93,13.08,69,16,4.23
330,16.93,14.64,69,16,4.22
250,16.93,15.36,68,24,4.24
250,16.93,14.8,68,24,4.27
210,16.93,14.46,68,24,4.29
130,16.35,14.42,67.71,25.04,4.27
100,15.13,11.22,66,33,4.28
110,14.54,9.37,66,33,4.26
250,14.32,8.81,66,33.47,4.32
400,12.94,5.8,66,37,4.59
400,12.67,6.42,67.05,36.3,4.44
