iter	Passed	Remaining
0	73	109541
1	91	68837
2	111	55622
3	132	49635
4	155	46572
5	179	44782
6	200	42722
7	219	40851
8	235	39063
9	254	37899
10	274	37184
11	294	36489
12	313	35893
13	332	35302
14	352	34876
15	372	34573
16	379	33099
17	399	32856
18	420	32759
19	441	32675
20	461	32520
21	483	32462
22	489	31449
23	509	31354
24	528	31207
25	553	31403
26	573	31270
27	593	31212
28	612	31060
29	631	30938
30	654	31013
31	674	30921
32	693	30831
33	712	30735
34	733	30694
35	754	30663
36	774	30625
37	795	30601
38	816	30570
39	836	30522
40	854	30420
41	874	30373
42	893	30277
43	914	30255
44	933	30174
45	952	30106
46	972	30057
47	994	30076
48	1015	30076
49	1034	30013
50	1056	30014
51	1077	30007
52	1097	29974
53	1117	29930
54	1137	29879
55	1158	29861
56	1177	29819
57	1198	29785
58	1216	29721
59	1236	29683
60	1257	29656
61	1278	29650
62	1296	29579
63	1317	29563
64	1337	29522
65	1356	29464
66	1376	29448
67	1397	29422
68	1416	29370
69	1434	29302
70	1454	29268
71	1474	29241
72	1494	29220
73	1514	29194
74	1537	29219
75	1556	29169
76	1574	29099
77	1594	29073
78	1615	29052
79	1639	29096
80	1658	29062
81	1678	29033
82	1697	28974
83	1717	28952
84	1737	28922
85	1756	28885
86	1775	28842
87	1793	28779
88	1812	28738
89	1831	28696
90	1851	28667
91	1872	28650
92	1891	28611
93	1911	28587
94	1930	28553
95	1949	28515
96	1968	28479
97	1987	28428
98	2004	28370
99	2024	28345
100	2045	28339
101	2067	28333
102	2086	28301
103	2107	28289
104	2126	28250
105	2147	28245
106	2169	28250
107	2189	28215
108	2210	28203
109	2230	28181
110	2251	28180
111	2272	28163
112	2293	28151
113	2313	28131
114	2333	28105
115	2352	28061
116	2373	28057
117	2392	28024
118	2411	27985
119	2431	27958
120	2450	27925
121	2469	27896
122	2490	27885
123	2513	27895
124	2534	27876
125	2553	27845
126	2573	27822
127	2591	27780
128	2612	27767
129	2632	27746
130	2650	27698
131	2670	27678
132	2689	27644
133	2709	27617
134	2730	27610
135	2751	27594
136	2769	27551
137	2787	27511
138	2810	27520
139	2833	27520
140	2853	27501
141	2877	27521
142	2896	27484
143	2915	27456
144	2935	27433
145	2956	27416
146	2975	27390
147	2996	27370
148	3014	27335
149	3033	27305
150	3053	27276
151	3059	27135
152	3078	27098
153	3097	27070
154	3116	27040
155	3135	27017
156	3154	26986
157	3178	26999
158	3202	27006
159	3222	26985
160	3243	26977
161	3263	26954
162	3283	26935
163	3304	26922
164	3328	26934
165	3349	26914
166	3370	26899
167	3392	26894
168	3411	26867
169	3430	26837
170	3452	26830
171	3476	26843
172	3495	26810
173	3514	26782
174	3537	26780
175	3557	26759
176	3575	26728
177	3593	26689
178	3612	26662
179	3635	26659
180	3655	26635
181	3674	26611
182	3694	26584
183	3716	26584
184	3736	26561
185	3757	26544
186	3775	26511
187	3794	26483
188	3814	26455
189	3834	26434
190	3854	26418
191	3875	26400
192	3894	26373
193	3915	26359
194	3935	26338
195	3956	26320
196	3976	26299
197	3998	26291
198	4017	26268
199	4037	26244
200	4057	26225
201	4076	26196
202	4095	26167
203	4114	26140
204	4133	26110
205	4152	26085
206	4171	26056
207	4189	26023
208	4209	26000
209	4229	25978
210	4248	25954
211	4270	25942
212	4291	25929
213	4313	25920
214	4332	25894
215	4352	25872
216	4371	25848
217	4392	25832
218	4412	25807
219	4434	25801
220	4455	25784
221	4477	25774
222	4497	25754
223	4517	25733
224	4537	25714
225	4558	25695
226	4578	25678
227	4598	25654
228	4617	25629
229	4637	25604
230	4656	25582
231	4678	25569
232	4697	25545
233	4718	25528
234	4739	25511
235	4760	25495
236	4778	25467
237	4798	25443
238	4816	25411
239	4835	25384
240	4857	25374
241	4878	25357
242	4897	25335
243	4916	25308
244	4937	25292
245	4958	25276
246	4979	25260
247	5000	25244
248	5020	25222
249	5039	25197
250	5059	25176
251	5080	25158
252	5102	25150
253	5122	25127
254	5142	25109
255	5161	25082
256	5181	25060
257	5201	25040
258	5221	25018
259	5240	24991
